Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Сентябрь, 2011, тыс. рублей;Август, 2011, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;9 616 377 011,00;9 558 937 487,00;57 439 524,00;0,60
2;0;ВТБ;1000;Санкт-Петербург и обл.;3 470 001 484,00;3 350 858 406,00;119 143 078,00;3,56
3;0;Газпромбанк;354;Москва и обл.;1 924 431 284,00;1 847 071 750,00;77 359 534,00;4,19
4;0;Россельхозбанк;3349;Москва и обл.;1 308 311 096,00;1 277 273 847,00;31 037 249,00;2,43
5;0;ВТБ 24;1623;Москва и обл.;1 083 471 021,00;1 054 490 504,00;28 980 517,00;2,75
6;0;Альфа-Банк;1326;Москва и обл.;904 317 869,00;879 561 576,00;24 756 293,00;2,81
7;0;БМ-Банк;2748;Москва и обл.;834 373 481,00;868 728 062,00;-34 354 581,00;-3,95
8;0;ЮниКредит Банк;1;Москва и обл.;808 947 366,00;743 554 063,00;65 393 303,00;8,79
9;0;Росбанк;2272;Москва и обл.;612 873 596,00;598 355 549,00;14 518 047,00;2,43
10;0;Райффайзенбанк;3292;Москва и обл.;555 465 174,00;524 684 146,00;30 781 028,00;5,87
11;0;Промсвязьбанк;3251;Москва и обл.;537 408 532,00;499 525 017,00;37 883 515,00;7,58
12;0;Транскредитбанк;2142;Москва и обл.;447 960 847,00;438 249 505,00;9 711 342,00;2,22
13;0;Банк Уралсиб;30;Москва и обл.;439 523 844,00;435 408 455,00;4 115 389,00;0,95
14;0;Банк Открытие;2209;Москва и обл.;436 124 773,00;428 390 580,00;7 734 193,00;1,81
15;0;МДМ Банк;2562;Новосибирская обл.;386 594 324,00;378 786 115,00;7 808 209,00;2,06
16;0;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;308 192 756,00;306 480 031,00;1 712 725,00;0,56
17;0;Ситибанк;2557;Москва и обл.;281 536 967,00;288 192 474,00;-6 655 507,00;-2,31
18;0;Ак Барс;2590;Татарстан;281 174 513,00;278 515 275,00;2 659 238,00;0,95
19;0;Россия;328;Санкт-Петербург и обл.;268 766 133,00;269 307 292,00;-541 159,00;-0,20
20;0;Московский Кредитный Банк;1978;Москва и обл.;223 485 305,00;219 557 498,00;3 927 807,00;1,79
21;1;Нордеа Банк;3016;Москва и обл.;222 311 025,00;209 315 610,00;12 995 415,00;6,21
22;-1;Петрокоммерц;1776;Москва и обл.;218 263 332,00;215 651 211,00;2 612 121,00;1,21
23;0;Ханты-Мансийский банк Открытие;1971;Тюменская обл.;216 535 754,00;207 856 293,00;8 679 461,00;4,18
24;0;Связь-Банк;1470;Москва и обл.;206 570 361,00;200 699 639,00;5 870 722,00;2,93
25;0;Банк Зенит;3255;Москва и обл.;200 317 208,00;198 152 789,00;2 164 419,00;1,09
26;0;Возрождение;1439;Москва и обл.;185 614 924,00;183 207 376,00;2 407 548,00;1,31
27;4;ИНГ Банк;2495;Москва и обл.;166 711 072,00;144 601 121,00;22 109 951,00;15,29
28;-1;Банк «Открытие»;2179;Москва и обл.;163 464 451,00;164 558 518,00;-1 094 067,00;-0,66
29;1;Русский Стандарт;2289;Москва и обл.;160 696 674,00;153 434 478,00;7 262 196,00;4,73
30;-2;Траст;3279;Москва и обл.;159 234 830,00;155 888 851,00;3 345 979,00;2,15
31;1;Глобэкс;1942;Москва и обл.;151 839 424,00;142 270 418,00;9 569 006,00;6,73
32;1;Национальный Расчетный Депозитарий;3294;Москва и обл.;145 435 514,00;126 475 952,00;18 959 562,00;14,99
33;-4;МТС Банк;2268;Москва и обл.;143 500 830,00;153 573 650,00;-10 072 820,00;-6,56
34;0;Московский Индустриальный Банк;912;Москва и обл.;128 691 507,00;126 078 296,00;2 613 211,00;2,07
35;0;Хоум Кредит Банк;316;Москва и обл.;123 553 610,00;125 720 438,00;-2 166 828,00;-1,72
36;0;Восточный Банк;1460;Амурская обл.;121 072 833,00;115 386 413,00;5 686 420,00;4,93
37;4;Национальный Клиринговый Центр;3466;Москва и обл.;116 325 700,00;102 578 279,00;13 747 421,00;13,40
38;1;Бинбанк;323;Москва и обл.;111 850 366,00;105 762 632,00;6 087 734,00;5,76
39;-2;Дойче Банк;3328;Москва и обл.;111 745 540,00;114 498 268,00;-2 752 728,00;-2,40
40;0;ОТП Банк;2766;Москва и обл.;110 776 762,00;104 130 341,00;6 646 421,00;6,38
41;1;Абсолют Банк;2306;Москва и обл.;102 703 788,00;100 884 280,00;1 819 508,00;1,80
42;-4;КИТ Финанс Инвестиционный Банк;1911;Санкт-Петербург и обл.;102 333 422,00;107 561 437,00;-5 228 015,00;-4,86
43;0;МСП Банк;3340;Москва и обл.;99 659 546,00;98 134 855,00;1 524 691,00;1,55
44;2;РГС Банк;3073;Москва и обл.;97 141 548,00;94 507 391,00;2 634 157,00;2,79
45;-1;Банк Интеза;2216;Москва и обл.;95 884 644,00;94 771 479,00;1 113 165,00;1,17
46;14;БНП Париба Банк;3407;Москва и обл.;95 880 054,00;73 596 747,00;22 283 307,00;30,28
47;-2;Русфинанс Банк;1792;Самарская обл.;95 074 045,00;94 741 915,00;332 130,00;0,35
48;-1;Транскапиталбанк;2210;Москва и обл.;94 846 024,00;93 389 927,00;1 456 097,00;1,56
49;1;Кредит Европа Банк;3311;Москва и обл.;93 971 365,00;89 722 953,00;4 248 412,00;4,74
50;-2;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;91 880 526,00;90 415 404,00;1 465 122,00;1,62
51;-2;СКБ-Банк;705;Свердловская обл.;90 600 842,00;89 859 508,00;741 334,00;0,82
52;-1;Юниаструм Банк;2771;Москва и обл.;86 684 052,00;88 443 292,00;-1 759 240,00;-1,99
53;-1;Пробизнесбанк;2412;Москва и обл.;84 136 946,00;81 627 383,00;2 509 563,00;3,07
54;0;Инвестторгбанк;2763;Москва и обл.;83 114 956,00;78 820 418,00;4 294 538,00;5,45
55;9;СМП Банк;3368;Москва и обл.;79 594 341,00;68 454 895,00;11 139 446,00;16,27
56;-3;Новикомбанк;2546;Москва и обл.;79 093 474,00;79 381 858,00;-288 384,00;-0,36
57;-2;Союз;2307;Москва и обл.;78 098 308,00;76 502 688,00;1 595 620,00;2,09
58;-1;РосЕвроБанк;3137;Москва и обл.;76 735 140,00;74 195 494,00;2 539 646,00;3,42
59;-3;Балтийский Банк;128;Москва и обл.;76 213 787,00;75 484 656,00;729 131,00;0,97
60;-2;Внешпромбанк;3261;Москва и обл.;75 951 650,00;74 191 492,00;1 760 158,00;2,37
61;-2;Запсибкомбанк;918;Тюменская обл.;73 347 106,00;73 872 469,00;-525 363,00;-0,71
62;5;ЦентроКредит;121;Москва и обл.;72 586 941,00;61 164 268,00;11 422 673,00;18,68
