Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Ноябрь, 2011, тыс. рублей;Октябрь, 2011, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;10 027 617 333,00;9 905 380 478,00;122 236 855,00;1,23
2;0;ВТБ;1000;Санкт-Петербург и обл.;3 906 701 600,00;3 933 950 125,00;-27 248 525,00;-0,69
3;0;Газпромбанк;354;Москва и обл.;1 989 762 591,00;2 002 980 947,00;-13 218 356,00;-0,66
4;0;Россельхозбанк;3349;Москва и обл.;1 393 021 858,00;1 378 342 508,00;14 679 350,00;1,07
5;0;ВТБ 24;1623;Москва и обл.;1 208 823 628,00;1 196 378 672,00;12 444 956,00;1,04
6;0;БМ-Банк;2748;Москва и обл.;1 136 763 319,00;1 160 781 050,00;-24 017 731,00;-2,07
7;0;Альфа-Банк;1326;Москва и обл.;965 344 469,00;965 599 892,00;-255 423,00;-0,03
8;0;ЮниКредит Банк;1;Москва и обл.;848 862 439,00;912 525 713,00;-63 663 274,00;-6,98
9;0;Росбанк;2272;Москва и обл.;653 656 532,00;643 197 707,00;10 458 825,00;1,63
10;0;Райффайзенбанк;3292;Москва и обл.;609 409 098,00;614 370 282,00;-4 961 184,00;-0,81
11;0;Промсвязьбанк;3251;Москва и обл.;544 076 037,00;552 861 907,00;-8 785 870,00;-1,59
12;0;Банк Открытие;2209;Москва и обл.;483 190 524,00;461 346 501,00;21 844 023,00;4,73
13;1;Транскредитбанк;2142;Москва и обл.;460 329 431,00;442 500 067,00;17 829 364,00;4,03
14;-1;Банк Уралсиб;30;Москва и обл.;436 209 290,00;447 679 110,00;-11 469 820,00;-2,56
15;0;МДМ Банк;2562;Новосибирская обл.;376 572 730,00;383 820 672,00;-7 247 942,00;-1,89
16;0;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;334 502 447,00;320 453 324,00;14 049 123,00;4,38
17;2;Россия;328;Санкт-Петербург и обл.;289 583 464,00;279 535 213,00;10 048 251,00;3,59
18;-1;Ак Барс;2590;Татарстан;289 506 020,00;289 432 859,00;73 161,00;0,03
19;-1;Ситибанк;2557;Москва и обл.;280 869 429,00;284 047 327,00;-3 177 898,00;-1,12
20;0;Нордеа Банк;3016;Москва и обл.;246 331 316,00;248 541 078,00;-2 209 762,00;-0,89
21;0;Московский Кредитный Банк;1978;Москва и обл.;223 186 405,00;228 594 666,00;-5 408 261,00;-2,37
22;0;Ханты-Мансийский банк Открытие;1971;Тюменская обл.;212 955 047,00;221 662 214,00;-8 707 167,00;-3,93
23;0;Петрокоммерц;1776;Москва и обл.;212 699 136,00;221 474 106,00;-8 774 970,00;-3,96
24;0;Банк Зенит;3255;Москва и обл.;212 508 918,00;208 373 178,00;4 135 740,00;1,98
25;0;Связь-Банк;1470;Москва и обл.;204 479 391,00;190 691 769,00;13 787 622,00;7,23
26;0;Возрождение;1439;Москва и обл.;185 086 973,00;188 620 515,00;-3 533 542,00;-1,87
27;0;ИНГ Банк;2495;Москва и обл.;179 254 370,00;176 504 375,00;2 749 995,00;1,56
28;0;Банк «Открытие»;2179;Москва и обл.;168 771 070,00;174 884 766,00;-6 113 696,00;-3,50
29;1;Русский Стандарт;2289;Москва и обл.;168 154 065,00;164 548 299,00;3 605 766,00;2,19
30;-1;Глобэкс;1942;Москва и обл.;164 431 455,00;168 185 683,00;-3 754 228,00;-2,23
31;0;Траст;3279;Москва и обл.;164 145 491,00;161 924 023,00;2 221 468,00;1,37
32;3;Хоум Кредит Банк;316;Москва и обл.;140 708 235,00;129 425 581,00;11 282 654,00;8,72
