Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Январь, 2013, тыс. рублей;Декабрь, 2012, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;14 082 252 862,00;13 611 685 899,00;470 566 963,00;3,46
2;0;ВТБ;1000;Санкт-Петербург и обл.;4 338 506 970,00;4 225 872 030,00;112 634 940,00;2,67
3;0;Газпромбанк;354;Москва и обл.;2 814 389 584,00;2 801 570 042,00;12 819 542,00;0,46
4;0;Россельхозбанк;3349;Москва и обл.;1 672 771 138,00;1 615 112 616,00;57 658 522,00;3,57
5;0;БМ-Банк;2748;Москва и обл.;1 520 101 934,00;1 513 461 083,00;6 640 851,00;0,44
6;0;ВТБ 24;1623;Москва и обл.;1 511 500 758,00;1 460 127 712,00;51 373 046,00;3,52
7;0;Альфа-Банк;1326;Москва и обл.;1 377 045 587,00;1 232 046 219,00;144 999 368,00;11,77
8;0;ЮниКредит Банк;1;Москва и обл.;886 111 726,00;830 703 742,00;55 407 984,00;6,67
9;1;Промсвязьбанк;3251;Москва и обл.;703 512 015,00;652 082 203,00;51 429 812,00;7,89
10;-1;Росбанк;2272;Москва и обл.;694 965 066,00;666 371 991,00;28 593 075,00;4,29
11;1;Банк Открытие;2209;Москва и обл.;658 177 268,00;554 095 615,00;104 081 653,00;18,78
12;-1;Райффайзенбанк;3292;Москва и обл.;636 129 628,00;597 059 444,00;39 070 184,00;6,54
13;0;Транскредитбанк;2142;Москва и обл.;504 220 728,00;506 682 198,00;-2 461 470,00;-0,49
14;0;Банк Уралсиб;30;Москва и обл.;452 552 670,00;439 411 936,00;13 140 734,00;2,99
15;0;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;377 459 109,00;364 769 398,00;12 689 711,00;3,48
16;1;МДМ Банк;2562;Новосибирская обл.;369 245 138,00;356 146 568,00;13 098 570,00;3,68
17;1;Ак Барс;2590;Татарстан;342 762 257,00;352 164 044,00;-9 401 787,00;-2,67
18;2;Хоум Кредит Банк;316;Москва и обл.;331 652 350,00;293 230 412,00;38 421 938,00;13,10
19;-3;Ситибанк;2557;Москва и обл.;326 162 434,00;359 013 594,00;-32 851 160,00;-9,15
20;2;Московский Кредитный Банк;1978;Москва и обл.;320 218 464,00;280 005 476,00;40 212 988,00;14,36
21;-2;Россия;328;Санкт-Петербург и обл.;320 073 599,00;314 199 470,00;5 874 129,00;1,87
22;-1;Русский Стандарт;2289;Москва и обл.;301 700 094,00;281 552 901,00;20 147 193,00;7,16
23;1;Ханты-Мансийский банк Открытие;1971;Тюменская обл.;298 476 987,00;268 789 901,00;29 687 086,00;11,04
24;1;Связь-Банк;1470;Москва и обл.;269 560 402,00;263 269 406,00;6 290 996,00;2,39
25;-2;Нордеа Банк;3016;Москва и обл.;265 476 257,00;275 291 721,00;-9 815 464,00;-3,57
26;2;Глобэкс;1942;Москва и обл.;236 339 119,00;217 495 066,00;18 844 053,00;8,66
27;2;Восточный Банк;1460;Амурская обл.;233 182 612,00;217 341 434,00;15 841 178,00;7,29
28;-2;Петрокоммерц;1776;Москва и обл.;233 056 908,00;245 651 574,00;-12 594 666,00;-5,13
29;-2;Банк Зенит;3255;Москва и обл.;226 905 452,00;224 445 328,00;2 460 124,00;1,10
30;0;ИНГ Банк;2495;Москва и обл.;221 820 082,00;211 981 099,00;9 838 983,00;4,64
31;0;Возрождение;1439;Москва и обл.;221 393 243,00;205 587 584,00;15 805 659,00;7,69
32;3;Национальный Клиринговый Центр;3466;Москва и обл.;211 699 749,00;174 644 016,00;37 055 733,00;21,22
33;-1;Банк «Открытие»;2179;Москва и обл.;192 344 693,00;183 400 946,00;8 943 747,00;4,88
34;-1;Траст;3279;Москва и обл.;183 375 283,00;179 120 185,00;4 255 098,00;2,38
35;1;Московский Индустриальный Банк;912;Москва и обл.;172 675 164,00;163 465 475,00;9 209 689,00;5,63
36;2;Дойче Банк;3328;Москва и обл.;170 515 233,00;160 556 039,00;9 959 194,00;6,20
37;-3;МТС Банк;2268;Москва и обл.;168 131 059,00;174 964 645,00;-6 833 586,00;-3,91
38;-1;Бинбанк;323;Москва и обл.;164 032 856,00;161 634 223,00;2 398 633,00;1,48
39;0;ОТП Банк;2766;Москва и обл.;158 934 553,00;151 571 569,00;7 362 984,00;4,86
40;1;СМП Банк;3368;Москва и обл.;147 603 845,00;134 264 042,00;13 339 803,00;9,94
41;-1;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;147 422 942,00;140 966 010,00;6 456 932,00;4,58
42;0;СКБ-Банк;705;Свердловская обл.;135 371 008,00;133 754 670,00;1 616 338,00;1,21
43;1;Новикомбанк;2546;Москва и обл.;130 481 520,00;118 584 979,00;11 896 541,00;10,03
44;-1;Транскапиталбанк;2210;Москва и обл.;122 646 212,00;119 445 673,00;3 200 539,00;2,68
45;1;Кредит Европа Банк;3311;Москва и обл.;120 512 039,00;115 696 673,00;4 815 366,00;4,16
46;2;Внешпромбанк;3261;Москва и обл.;117 442 614,00;110 157 303,00;7 285 311,00;6,61
47;4;РосЕвроБанк;3137;Москва и обл.;116 715 944,00;105 378 238,00;11 337 706,00;10,76
48;4;МСП Банк;3340;Москва и обл.;115 891 829,00;103 690 226,00;12 201 603,00;11,77
49;-4;Национальный Расчетный Депозитарий;3294;Москва и обл.;112 653 228,00;116 624 817,00;-3 971 589,00;-3,41
50;3;Инвестторгбанк;2763;Москва и обл.;111 382 988,00;102 878 954,00;8 504 034,00;8,27
51;-2;Абсолют Банк;2306;Москва и обл.;110 483 276,00;108 006 493,00;2 476 783,00;2,29
52;3;Авангард;2879;Москва и обл.;110 130 208,00;100 677 482,00;9 452 726,00;9,39
53;1;Татфондбанк;3058;Татарстан;108 152 554,00;100 925 143,00;7 227 411,00;7,16
54;-4;Пробизнесбанк;2412;Москва и обл.;107 984 819,00;107 143 370,00;841 449,00;0,79
55;-8;Русфинанс Банк;1792;Самарская обл.;107 935 177,00;113 389 093,00;-5 453 916,00;-4,81
56;0;РГС Банк;3073;Москва и обл.;103 668 352,00;99 602 987,00;4 065 365,00;4,08
57;1;Эйч-Эс-Би-Си Банк (HSBC);3290;Москва и обл.;101 728 610,00;95 580 181,00;6 148 429,00;6,43
58;1;Банк ДОМ.РФ;2312;Москва и обл.;100 318 559,00;94 762 458,00;5 556 101,00;5,86
59;-2;Совкомбанк;963;Костромская обл.;97 772 413,00;95 823 079,00;1 949 334,00;2,03
60;3;КИТ Финанс Инвестиционный Банк;1911;Санкт-Петербург и обл.;92 900 420,00;89 445 521,00;3 454 899,00;3,86
61;3;Азиатско-Тихоокеанский Банк;1810;Амурская обл.;91 033 983,00;88 158 945,00;2 875 038,00;3,26
62;11;Еврофинанс Моснарбанк;2402;Москва и обл.;90 491 009,00;72 546 089,00;17 944 920,00;24,74
63;-1;Юниаструм Банк;2771;Москва и обл.;90 427 375,00;90 323 866,00;103 509,00;0,11
64;-3;БНП Париба Банк;3407;Москва и обл.;89 537 170,00;91 187 564,00;-1 650 394,00;-1,81
65;-5;Ренессанс Кредит;3354;Москва и обл.;89 492 688,00;92 112 096,00;-2 619 408,00;-2,84
66;3;Запсибкомбанк;918;Тюменская обл.;87 519 776,00;78 250 348,00;9 269 428,00;11,85
67;0;Балтийский Банк;128;Москва и обл.;84 821 302,00;82 897 560,00;1 923 742,00;2,32
68;-2;Пересвет;2110;Москва и обл.;84 625 399,00;82 918 004,00;1 707 395,00;2,06
69;5;Связной Банк;1961;Москва и обл.;82 285 015,00;72 333 021,00;9 951 994,00;13,76
70;-5;Банк Интеза;2216;Москва и обл.;81 724 535,00;85 341 980,00;-3 617 445,00;-4,24
71;-1;ДельтаКредит;3338;Москва и обл.;80 169 491,00;75 515 013,00;4 654 478,00;6,16
72;-4;Союз;2307;Москва и обл.;79 129 303,00;79 725 011,00;-595 708,00;-0,75
73;2;Мастер-Банк;2176;Москва и обл.;77 766 584,00;71 803 891,00;5 962 693,00;8,30
74;3;Тинькофф Банк;2673;Москва и обл.;75 414 961,00;68 425 950,00;6 989 011,00;10,21
75;11;Нота-Банк;2913;Москва и обл.;75 380 556,00;54 662 342,00;20 718 214,00;37,90
76;0;Всероссийский Банк Развития Регионов;3287;Москва и обл.;74 287 442,00;70 962 449,00;3 324 993,00;4,69
77;-5;Собинбанк;1317;Москва и обл.;72 611 320,00;72 898 793,00;-287 473,00;-0,39
78;0;Локо-Банк;2707;Москва и обл.;72 555 717,00;68 159 593,00;4 396 124,00;6,45
79;0;ЦентроКредит;121;Москва и обл.;72 157 363,00;65 649 436,00;6 507 927,00;9,91
80;0;Роскосмосбанк;2989;Москва и обл.;68 343 355,00;63 782 329,00;4 561 026,00;7,15
81;0;Центр-инвест;2225;Ростовская обл.;64 581 199,00;63 551 806,00;1 029 393,00;1,62
82;6;Металлинвестбанк;2440;Москва и обл.;63 412 208,00;54 394 977,00;9 017 231,00;16,58
83;-1;Балтинвестбанк;3176;Санкт-Петербург и обл.;62 468 221,00;60 534 116,00;1 934 105,00;3,20
84;5;Инвестбанк;107;Москва и обл.;57 517 684,00;53 939 100,00;3 578 584,00;6,63
85;0;Первобанк;3461;Самарская обл.;57 180 933,00;57 114 475,00;66 458,00;0,12
86;10;Банк БФА;3038;Санкт-Петербург и обл.;56 183 522,00;47 917 718,00;8 265 804,00;17,25
87;7;СБ Банк (Судостроительный банк);2999;Москва и обл.;54 949 476,00;49 875 030,00;5 074 446,00;10,17
88;4;Международный Финансовый Клуб;2618;Москва и обл.;53 092 901,00;50 530 568,00;2 562 333,00;5,07
89;-2;Международный Банк Санкт-Петербурга (МБСП);197;Санкт-Петербург и обл.;52 056 401,00;54 397 455,00;-2 341 054,00;-4,30
90;3;Национальный Стандарт;3421;Москва и обл.;51 687 335,00;50 079 190,00;1 608 145,00;3,21
91;-8;Креди Агриколь КИБ;1680;Санкт-Петербург и обл.;51 263 618,00;59 312 960,00;-8 049 342,00;-13,57
92;3;Бинбанк Диджитал;2827;Москва и обл.;51 038 703,00;48 821 228,00;2 217 475,00;4,54
93;-2;Меткомбанк (Каменск-Уральский);2443;Свердловская обл.;51 015 742,00;51 549 244,00;-533 502,00;-1,03
94;-4;Сургутнефтегазбанк;588;Тюменская обл.;50 524 562,00;51 889 916,00;-1 365 354,00;-2,63
95;6;Интеркоммерц Банк;1657;Москва и обл.;47 517 935,00;40 318 588,00;7 199 347,00;17,86
96;-25;Банк Кредит Свисс;2494;Москва и обл.;45 396 565,00;73 845 420,00;-28 448 855,00;-38,52
97;23;НС Банк;3124;Москва и обл.;45 287 894,00;30 245 231,00;15 042 663,00;49,74
98;0;Московский Областной Банк;1751;Москва и обл.;44 006 519,00;41 894 321,00;2 112 198,00;5,04
99;1;Экспресс-Волга;3085;Саратовская обл.;43 477 455,00;41 177 480,00;2 299 975,00;5,59
100;-3;Таврический Банк;2304;Санкт-Петербург и обл.;43 472 351,00;45 865 357,00;-2 393 006,00;-5,22
101;-17;Экспо Финанс;2594;Москва и обл.;43 083 878,00;57 605 506,00;-14 521 628,00;-25,21
