Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Июль, 2015, тыс. рублей;Июнь, 2015, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;20 759 308 286,00;20 194 996 155,00;564 312 131,00;2,79
2;0;ВТБ;1000;Санкт-Петербург и обл.;7 722 473 003,00;7 702 198 646,00;20 274 357,00;0,26
3;0;Газпромбанк;354;Москва и обл.;4 575 776 889,00;4 430 547 395,00;145 229 494,00;3,28
4;1;Банк Открытие;2209;Москва и обл.;2 708 335 259,00;2 424 733 200,00;283 602 059,00;11,70
5;-1;ВТБ 24;1623;Москва и обл.;2 702 666 294,00;2 650 073 935,00;52 592 359,00;1,98
6;0;Россельхозбанк;3349;Москва и обл.;2 292 961 194,00;2 254 178 680,00;38 782 514,00;1,72
7;0;Альфа-Банк;1326;Москва и обл.;1 985 454 168,00;1 902 378 627,00;83 075 541,00;4,37
8;0;БМ-Банк;2748;Москва и обл.;1 836 320 636,00;1 871 664 327,00;-35 343 691,00;-1,89
9;0;Национальный Клиринговый Центр;3466;Москва и обл.;1 430 001 049,00;1 507 561 197,00;-77 560 148,00;-5,14
10;0;ЮниКредит Банк;1;Москва и обл.;1 252 141 844,00;1 241 600 206,00;10 541 638,00;0,85
11;0;Промсвязьбанк;3251;Москва и обл.;1 060 544 229,00;1 034 498 950,00;26 045 279,00;2,52
12;0;Райффайзенбанк;3292;Москва и обл.;843 909 009,00;870 723 130,00;-26 814 121,00;-3,08
13;0;Росбанк;2272;Москва и обл.;837 837 331,00;852 697 779,00;-14 860 448,00;-1,74
14;0;Московский Кредитный Банк;1978;Москва и обл.;795 010 598,00;745 708 146,00;49 302 452,00;6,61
15;0;Ханты-Мансийский банк Открытие;1971;Москва и обл.;656 525 713,00;674 184 245,00;-17 658 532,00;-2,62
16;0;Бинбанк;323;Москва и обл.;581 206 463,00;558 234 694,00;22 971 769,00;4,12
17;1;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;543 970 293,00;525 422 920,00;18 547 373,00;3,53
18;-1;Россия;328;Санкт-Петербург и обл.;536 714 352,00;539 858 828,00;-3 144 476,00;-0,58
19;0;Ак Барс;2590;Татарстан;476 475 476,00;469 696 063,00;6 779 413,00;1,44
20;0;Русский Стандарт;2289;Москва и обл.;458 045 948,00;444 895 601,00;13 150 347,00;2,96
21;1;Ситибанк;2557;Москва и обл.;386 074 553,00;366 574 808,00;19 499 745,00;5,32
22;-1;Связь-Банк;1470;Москва и обл.;378 651 241,00;395 672 061,00;-17 020 820,00;-4,30
23;0;МДМ Банк;2562;Москва и обл.;367 202 372,00;363 082 193,00;4 120 179,00;1,13
24;0;Банк Уралсиб;30;Москва и обл.;362 730 781,00;359 876 054,00;2 854 727,00;0,79
25;2;Московский Областной Банк;1751;Москва и обл.;336 559 223,00;331 961 160,00;4 598 063,00;1,39
26;-1;Траст;3279;Москва и обл.;331 479 422,00;333 037 874,00;-1 558 452,00;-0,47
27;3;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;328 807 184,00;296 649 623,00;32 157 561,00;10,84
28;-2;Нордеа Банк;3016;Москва и обл.;326 940 510,00;331 991 343,00;-5 050 833,00;-1,52
29;-1;ИНГ Банк;2495;Москва и обл.;323 610 073,00;312 569 359,00;11 040 714,00;3,53
30;3;Совкомбанк;963;Костромская обл.;302 148 877,00;276 780 509,00;25 368 368,00;9,17
31;0;Глобэкс;1942;Москва и обл.;293 181 570,00;286 785 586,00;6 395 984,00;2,23
32;8;Рост Банк;2888;Москва и обл.;282 910 983,00;237 253 799,00;45 657 184,00;19,24
33;-4;Хоум Кредит Банк;316;Москва и обл.;281 817 997,00;304 267 233,00;-22 449 236,00;-7,38
34;-2;Банк Зенит;3255;Москва и обл.;268 659 974,00;276 912 228,00;-8 252 254,00;-2,98
35;0;Югра;880;Ханты-Мансийский АО — Югра;267 518 109,00;255 290 528,00;12 227 581,00;4,79
36;2;Новикомбанк;2546;Москва и обл.;262 631 170,00;248 023 938,00;14 607 232,00;5,89
37;-1;Внешпромбанк;3261;Москва и обл.;257 815 605,00;252 920 796,00;4 894 809,00;1,94
38;-1;СМП Банк;3368;Москва и обл.;251 642 980,00;250 975 915,00;667 065,00;0,27
39;0;Восточный Банк;1460;Амурская обл.;241 868 425,00;241 268 029,00;600 396,00;0,25
40;2;Возрождение;1439;Москва и обл.;232 484 249,00;227 915 672,00;4 568 577,00;2,00
41;0;Абсолют Банк;2306;Москва и обл.;229 205 349,00;234 217 388,00;-5 012 039,00;-2,14
42;2;Банк ДОМ.РФ;2312;Москва и обл.;215 261 903,00;207 255 576,00;8 006 327,00;3,86
43;0;Московский Индустриальный Банк;912;Москва и обл.;212 917 853,00;211 874 812,00;1 043 041,00;0,49
44;2;Татфондбанк;3058;Татарстан;184 153 277,00;176 924 653,00;7 228 624,00;4,09
45;0;Российский Кредит;324;Москва и обл.;181 363 590,00;182 564 099,00;-1 200 509,00;-0,66
