Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Май, 2016, тыс. рублей;Апрель, 2016, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;22 933 754 353,00;23 212 151 471,00;-278 397 118,00;-1,20
2;0;ВТБ;1000;Санкт-Петербург и обл.;8 805 713 007,00;9 114 377 871,00;-308 664 864,00;-3,39
3;0;Газпромбанк;354;Москва и обл.;5 227 698 735,00;5 205 383 927,00;22 314 808,00;0,43
4;0;ВТБ 24;1623;Москва и обл.;2 999 446 189,00;3 018 830 096,00;-19 383 907,00;-0,64
5;0;Банк Открытие;2209;Москва и обл.;2 842 983 813,00;2 929 145 208,00;-86 161 395,00;-2,94
6;0;Россельхозбанк;3349;Москва и обл.;2 662 954 776,00;2 763 514 526,00;-100 559 750,00;-3,64
7;0;Альфа-Банк;1326;Москва и обл.;2 236 384 509,00;2 234 634 963,00;1 749 546,00;0,08
8;0;Национальный Клиринговый Центр;3466;Москва и обл.;2 006 147 298,00;1 845 112 917,00;161 034 381,00;8,73
9;0;БМ-Банк;2748;Москва и обл.;1 688 499 232,00;1 675 554 276,00;12 944 956,00;0,77
10;0;ЮниКредит Банк;1;Москва и обл.;1 317 300 675,00;1 501 777 686,00;-184 477 011,00;-12,28
11;0;Московский Кредитный Банк;1978;Москва и обл.;1 301 748 951,00;1 396 647 409,00;-94 898 458,00;-6,79
12;0;Промсвязьбанк;3251;Москва и обл.;1 227 397 289,00;1 295 106 278,00;-67 708 989,00;-5,23
13;1;Росбанк;2272;Москва и обл.;856 730 019,00;820 372 444,00;36 357 575,00;4,43
14;-1;Райффайзенбанк;3292;Москва и обл.;800 745 938,00;823 288 195,00;-22 542 257,00;-2,74
15;0;Бинбанк;323;Москва и обл.;736 519 885,00;760 742 603,00;-24 222 718,00;-3,18
16;0;Россия;328;Санкт-Петербург и обл.;584 544 280,00;591 896 635,00;-7 352 355,00;-1,24
17;0;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;563 456 101,00;589 187 287,00;-25 731 186,00;-4,37
18;0;Ханты-Мансийский банк Открытие;1971;Москва и обл.;501 998 808,00;535 221 813,00;-33 223 005,00;-6,21
19;3;Рост Банк;2888;Москва и обл.;484 643 012,00;459 547 289,00;25 095 723,00;5,46
20;-1;Русский Стандарт;2289;Москва и обл.;481 294 645,00;486 703 480,00;-5 408 835,00;-1,11
21;-1;Совкомбанк;963;Костромская обл.;476 538 129,00;465 468 068,00;11 070 061,00;2,38
22;-1;Московский Областной Банк;1751;Москва и обл.;473 923 441,00;460 495 322,00;13 428 119,00;2,92
23;0;Ак Барс;2590;Татарстан;450 991 849,00;455 352 233,00;-4 360 384,00;-0,96
24;0;Банк Уралсиб;30;Москва и обл.;447 095 100,00;438 029 148,00;9 065 952,00;2,07
25;0;Ситибанк;2557;Москва и обл.;419 727 592,00;423 650 761,00;-3 923 169,00;-0,93
26;0;Траст;3279;Москва и обл.;399 235 613,00;388 140 650,00;11 094 963,00;2,86
27;4;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;346 076 756,00;346 998 780,00;-922 024,00;-0,27
28;0;Связь-Банк;1470;Москва и обл.;343 853 667,00;354 621 136,00;-10 767 469,00;-3,04
29;0;Нордеа Банк;3016;Москва и обл.;338 776 478,00;350 251 858,00;-11 475 380,00;-3,28
30;-3;СМП Банк;3368;Москва и обл.;331 544 232,00;370 409 914,00;-38 865 682,00;-10,49
31;1;МДМ Банк;2562;Москва и обл.;330 168 614,00;337 832 169,00;-7 663 555,00;-2,27
32;-2;Югра;880;Москва и обл.;319 128 090,00;348 249 185,00;-29 121 095,00;-8,36
33;0;ИНГ Банк;2495;Москва и обл.;289 647 783,00;307 235 276,00;-17 587 493,00;-5,72
34;0;Банк ДОМ.РФ;2312;Москва и обл.;272 546 206,00;295 283 913,00;-22 737 707,00;-7,70
35;1;Банк Зенит;3255;Москва и обл.;262 320 136,00;265 996 115,00;-3 675 979,00;-1,38
