Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Август, 2016, тыс. рублей;Июль, 2016, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;22 923 093 141,00;22 880 959 930,00;42 133 211,00;0,18
2;0;ВТБ;1000;Санкт-Петербург и обл.;9 719 640 051,00;9 555 556 892,00;164 083 159,00;1,72
3;0;Газпромбанк;354;Москва и обл.;5 138 013 687,00;5 203 796 037,00;-65 782 350,00;-1,26
4;0;ВТБ 24;1623;Москва и обл.;3 111 485 934,00;3 058 208 222,00;53 277 712,00;1,74
5;0;Банк Открытие;2209;Москва и обл.;2 890 944 665,00;2 854 490 790,00;36 453 875,00;1,28
6;0;Россельхозбанк;3349;Москва и обл.;2 685 812 968,00;2 726 262 108,00;-40 449 140,00;-1,48
7;0;Альфа-Банк;1326;Москва и обл.;2 281 252 644,00;2 216 336 105,00;64 916 539,00;2,93
8;0;Национальный Клиринговый Центр;3466;Москва и обл.;1 855 323 750,00;1 863 920 574,00;-8 596 824,00;-0,46
9;0;ЮниКредит Банк;1;Москва и обл.;1 321 422 868,00;1 299 388 249,00;22 034 619,00;1,70
10;0;Промсвязьбанк;3251;Москва и обл.;1 270 203 884,00;1 280 684 427,00;-10 480 543,00;-0,82
11;0;Московский Кредитный Банк;1978;Москва и обл.;1 266 359 177,00;1 256 585 231,00;9 773 946,00;0,78
12;0;Райффайзенбанк;3292;Москва и обл.;834 394 416,00;816 015 622,00;18 378 794,00;2,25
13;0;Росбанк;2272;Москва и обл.;829 569 166,00;788 152 495,00;41 416 671,00;5,25
14;0;Бинбанк;323;Москва и обл.;806 411 139,00;761 784 820,00;44 626 319,00;5,86
15;0;БМ-Банк;2748;Москва и обл.;706 206 253,00;701 889 923,00;4 316 330,00;0,61
16;0;Россия;328;Санкт-Петербург и обл.;674 807 190,00;623 334 960,00;51 472 230,00;8,26
17;0;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;576 297 516,00;605 541 137,00;-29 243 621,00;-4,83
18;1;Рост Банк;2888;Москва и обл.;563 055 438,00;528 481 969,00;34 573 469,00;6,54
19;1;Ханты-Мансийский банк Открытие;1971;Москва и обл.;526 436 749,00;514 336 775,00;12 099 974,00;2,35
20;-2;Совкомбанк;963;Костромская обл.;521 536 381,00;536 013 458,00;-14 477 077,00;-2,70
21;1;Русский Стандарт;2289;Москва и обл.;486 107 486,00;476 896 876,00;9 210 610,00;1,93
22;-1;Московский Областной Банк;1751;Москва и обл.;478 310 651,00;481 578 822,00;-3 268 171,00;-0,68
23;1;Банк Уралсиб;30;Москва и обл.;464 644 731,00;451 403 401,00;13 241 330,00;2,93
24;1;Ак Барс;2590;Татарстан;444 848 358,00;444 992 701,00;-144 343,00;-0,03
25;-2;Ситибанк;2557;Москва и обл.;430 978 136,00;458 601 865,00;-27 623 729,00;-6,02
26;0;Траст;3279;Москва и обл.;373 929 298,00;372 552 216,00;1 377 082,00;0,37
27;0;Связь-Банк;1470;Москва и обл.;354 246 765,00;339 392 054,00;14 854 711,00;4,38
28;1;СМП Банк;3368;Москва и обл.;346 208 812,00;335 955 146,00;10 253 666,00;3,05
29;-1;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;344 816 518,00;337 928 725,00;6 887 793,00;2,04
30;0;МДМ Банк;2562;Москва и обл.;327 370 806,00;328 702 358,00;-1 331 552,00;-0,41
31;0;Югра;880;Москва и обл.;319 571 221,00;324 472 587,00;-4 901 366,00;-1,51
32;0;Нордеа Банк;3016;Москва и обл.;314 851 012,00;323 936 620,00;-9 085 608,00;-2,80
33;0;ИНГ Банк;2495;Москва и обл.;303 658 901,00;303 906 764,00;-247 863,00;-0,08
34;0;Банк ДОМ.РФ;2312;Москва и обл.;298 319 439,00;291 299 827,00;7 019 612,00;2,41
35;1;Банк Зенит;3255;Москва и обл.;273 398 323,00;266 483 155,00;6 915 168,00;2,59
36;-1;Абсолют Банк;2306;Москва и обл.;263 232 368,00;273 297 492,00;-10 065 124,00;-3,68
37;0;Московский Индустриальный Банк;912;Москва и обл.;259 136 990,00;255 670 975,00;3 466 015,00;1,36
38;1;Новикомбанк;2546;Москва и обл.;257 249 468,00;233 416 524,00;23 832 944,00;10,21
39;-1;Возрождение;1439;Москва и обл.;237 351 646,00;236 923 388,00;428 258,00;0,18
40;2;Глобэкс;1942;Москва и обл.;226 922 178,00;221 797 677,00;5 124 501,00;2,31
41;-1;Хоум Кредит Банк;316;Москва и обл.;225 472 389,00;227 805 431,00;-2 333 042,00;-1,02
42;1;Транскапиталбанк;2210;Москва и обл.;224 702 508,00;216 804 548,00;7 897 960,00;3,64
43;2;Татфондбанк;3058;Татарстан;207 814 758,00;199 659 369,00;8 155 389,00;4,08
44;-3;Восточный Банк;1460;Амурская обл.;203 188 085,00;226 639 516,00;-23 451 431,00;-10,35
45;-1;Пересвет;2110;Москва и обл.;198 037 193,00;201 542 256,00;-3 505 063,00;-1,74
46;1;РосЕвроБанк;3137;Москва и обл.;182 946 347,00;179 579 434,00;3 366 913,00;1,87
47;2;Тинькофф Банк;2673;Москва и обл.;174 399 839,00;170 264 328,00;4 135 511,00;2,43
48;-2;Экспресс-Волга;3085;Костромская обл.;170 850 446,00;182 405 664,00;-11 555 218,00;-6,33
49;-1;МТС Банк;2268;Москва и обл.;159 781 961,00;174 982 530,00;-15 200 569,00;-8,69
50;0;ДельтаКредит;3338;Москва и обл.;156 452 982,00;154 875 459,00;1 577 523,00;1,02
51;2;Азиатско-Тихоокеанский Банк;1810;Амурская обл.;149 915 594,00;144 371 471,00;5 544 123,00;3,84
52;0;ОТП Банк;2766;Москва и обл.;146 634 170,00;147 616 409,00;-982 239,00;-0,67
53;1;РГС Банк;3073;Москва и обл.;138 761 274,00;142 846 211,00;-4 084 937,00;-2,86
54;1;Авангард;2879;Москва и обл.;138 272 081,00;135 816 604,00;2 455 477,00;1,81
55;-4;Всероссийский Банк Развития Регионов;3287;Москва и обл.;135 776 974,00;148 222 950,00;-12 445 976,00;-8,40
56;1;Кредит Европа Банк;3311;Москва и обл.;133 921 462,00;132 148 731,00;1 772 731,00;1,34
57;-1;МСП Банк;3340;Москва и обл.;130 052 965,00;132 745 493,00;-2 692 528,00;-2,03
58;0;СКБ-Банк;705;Свердловская обл.;127 443 202,00;129 088 144,00;-1 644 942,00;-1,27
59;0;Аверс;415;Татарстан;124 773 476,00;125 021 066,00;-247 590,00;-0,20
60;0;Инвестторгбанк;2763;Москва и обл.;121 639 375,00;120 990 635,00;648 740,00;0,54
61;0;Национальный Расчетный Депозитарий;3294;Москва и обл.;118 309 552,00;116 702 694,00;1 606 858,00;1,38
62;0;Запсибкомбанк;918;Тюменская обл.;110 121 982,00;110 447 905,00;-325 923,00;-0,30
63;4;Юниаструм Банк;2771;Москва и обл.;103 401 801,00;98 286 759,00;5 115 042,00;5,20
64;1;Роскосмосбанк;2989;Москва и обл.;103 343 376,00;101 711 968,00;1 631 408,00;1,60
65;-2;Сетелем Банк;2168;Москва и обл.;102 225 929,00;103 247 282,00;-1 021 353,00;-0,99
66;-2;Сургутнефтегазбанк;588;Ханты-Мансийский АО — Югра;101 334 328,00;103 202 293,00;-1 867 965,00;-1,81
67;-1;Ренессанс Кредит;3354;Москва и обл.;100 183 761,00;101 367 323,00;-1 183 562,00;-1,17
68;0;РосинтерБанк;226;Москва и обл.;99 931 483,00;96 055 835,00;3 875 648,00;4,03
69;1;Центр-инвест;2225;Ростовская обл.;97 130 790,00;94 368 032,00;2 762 758,00;2,93
70;1;Почта Банк;650;Москва и обл.;95 087 158,00;91 274 199,00;3 812 959,00;4,18
71;1;ЦентроКредит;121;Москва и обл.;94 462 110,00;91 121 153,00;3 340 957,00;3,67
72;-3;Русфинанс Банк;1792;Самарская обл.;94 003 278,00;94 901 966,00;-898 688,00;-0,95
73;1;Таврический Банк;2304;Санкт-Петербург и обл.;93 496 849,00;89 131 237,00;4 365 612,00;4,90
74;3;Союз;2307;Москва и обл.;88 201 653,00;83 424 006,00;4 777 647,00;5,73
75;-2;Локо-Банк;2707;Москва и обл.;86 623 342,00;89 623 005,00;-2 999 663,00;-3,35
76;0;Балтийский Банк;128;Санкт-Петербург и обл.;84 112 861,00;86 225 161,00;-2 112 300,00;-2,45
77;1;БНП Париба Банк;3407;Москва и обл.;81 119 482,00;80 113 793,00;1 005 689,00;1,26
78;2;Банк Финсервис;3388;Москва и обл.;80 124 203,00;78 035 302,00;2 088 901,00;2,68
79;3;Балтинвестбанк;3176;Санкт-Петербург и обл.;75 554 790,00;74 679 341,00;875 449,00;1,17
80;1;Эйч-Эс-Би-Си Банк (HSBC);3290;Москва и обл.;75 151 429,00;76 051 331,00;-899 902,00;-1,18
81;2;Международный Финансовый Клуб;2618;Москва и обл.;74 371 066,00;74 132 249,00;238 817,00;0,32
82;2;РНКБ;1354;Симферополь;74 240 316,00;73 147 512,00;1 092 804,00;1,49
83;-8;Дойче Банк;3328;Москва и обл.;72 695 835,00;88 036 520,00;-15 340 685,00;-17,43
84;3;Кубань Кредит;2518;Краснодарский край;72 236 993,00;71 473 545,00;763 448,00;1,07
85;1;Банк Интеза;2216;Москва и обл.;71 121 923,00;72 200 038,00;-1 078 115,00;-1,49
86;-1;Экспобанк;2998;Москва и обл.;68 231 718,00;72 798 267,00;-4 566 549,00;-6,27
87;1;Металлинвестбанк;2440;Москва и обл.;63 450 022,00;67 241 937,00;-3 791 915,00;-5,64
88;7;БКС Банк;101;Новосибирская обл.;63 298 505,00;61 827 113,00;1 471 392,00;2,38
89;5;РН Банк;170;Москва и обл.;63 203 723,00;61 850 999,00;1 352 724,00;2,19
90;-1;Бинбанк Диджитал;2827;Москва и обл.;61 306 787,00;64 513 572,00;-3 206 785,00;-4,97
91;0;Образование;1521;Москва и обл.;60 834 509,00;62 648 306,00;-1 813 797,00;-2,90
92;-13;Банк БФА;3038;Санкт-Петербург и обл.;60 600 802,00;78 899 136,00;-18 298 334,00;-23,19
93;-1;Креди Агриколь КИБ;1680;Санкт-Петербург и обл.;60 371 968,00;62 283 335,00;-1 911 367,00;-3,07
94;-1;Военно-Промышленный Банк;3065;Москва и обл.;60 346 590,00;62 033 270,00;-1 686 680,00;-2,72
95;1;Росэнергобанк;2211;Москва и обл.;60 060 480,00;58 563 081,00;1 497 399,00;2,56
96;2;Финпромбанк (ФПБ Банк);2157;Москва и обл.;58 337 718,00;57 540 537,00;797 181,00;1,39
97;-7;Меткомбанк (Каменск-Уральский);2443;Свердловская обл.;58 300 255,00;63 225 521,00;-4 925 266,00;-7,79
98;1;Международный Банк Санкт-Петербурга (МБСП);197;Санкт-Петербург и обл.;57 580 340,00;54 478 523,00;3 101 817,00;5,69
99;1;АйСиБиСи Банк;3475;Москва и обл.;52 757 507,00;52 723 165,00;34 342,00;0,07
100;25;Коммерцбанк (Евразия);3333;Москва и обл.;50 725 504,00;33 770 988,00;16 954 516,00;50,20
101;0;Крайинвестбанк;3360;Краснодарский край;50 411 517,00;49 932 613,00;478 904,00;0,96
102;4;СДМ-Банк;1637;Москва и обл.;50 306 039,00;48 011 890,00;2 294 149,00;4,78
103;-1;ББР Банк;2929;Москва и обл.;50 275 583,00;49 681 602,00;593 981,00;1,20
104;0;Тойота Банк;3470;Москва и обл.;48 782 585,00;48 230 290,00;552 295,00;1,15
105;2;Банк «Советский»;558;Санкт-Петербург и обл.;48 410 114,00;47 773 517,00;636 597,00;1,33
106;11;ВУЗ-Банк;1557;Свердловская обл.;48 160 581,00;39 453 068,00;8 707 513,00;22,07
107;-2;Межтопэнергобанк;2956;Москва и обл.;47 940 332,00;48 179 625,00;-239 293,00;-0,50
108;0;Социнвестбанк;1132;Башкортостан;47 567 093,00;47 619 396,00;-52 303,00;-0,11
109;4;Сумитомо Мицуи Рус Банк;3494;Москва и обл.;47 306 662,00;44 166 037,00;3 140 625,00;7,11
110;-1;Челябинвестбанк;493;Челябинская обл.;46 361 283,00;45 882 066,00;479 217,00;1,04
111;-8;Росэксимбанк;2790;Москва и обл.;45 740 752,00;48 358 880,00;-2 618 128,00;-5,41
112;-1;Примсоцбанк;2733;Приморский край;45 558 510,00;44 486 823,00;1 071 687,00;2,41
113;-3;Челиндбанк;485;Челябинская обл.;45 515 363,00;45 501 509,00;13 854,00;0,03
114;-2;Фора-Банк;1885;Москва и обл.;45 303 187,00;44 258 328,00;1 044 859,00;2,36
115;-1;Газэнергобанк;3252;Калужская обл.;43 604 545,00;43 689 633,00;-85 088,00;-0,19
116;-1;Левобережный;1343;Новосибирская обл.;43 257 381,00;43 209 215,00;48 166,00;0,11
117;5;Бэнк оф Чайна;2309;Москва и обл.;41 187 538,00;34 848 060,00;6 339 478,00;18,19
118;-2;Интерпрогрессбанк;600;Москва и обл.;39 634 719,00;39 515 047,00;119 672,00;0,30
119;-1;Саровбизнесбанк;2048;Нижегородская обл.;38 454 938,00;38 642 327,00;-187 389,00;-0,48
120;0;ОФК Банк;2270;Москва и обл.;38 220 640,00;35 323 286,00;2 897 354,00;8,20
121;-2;Меткомбанк (Череповец);901;Вологодская обл.;36 057 747,00;36 367 011,00;-309 264,00;-0,85
122;6;Еврофинанс Моснарбанк;2402;Москва и обл.;35 253 695,00;31 446 053,00;3 807 642,00;12,11
123;-2;Национальный Стандарт;3421;Москва и обл.;35 166 455,00;34 938 740,00;227 715,00;0,65
124;12;Фольксваген Банк Рус;3500;Москва и обл.;33 217 382,00;28 620 101,00;4 597 281,00;16,06
125;2;Кольцо Урала;65;Свердловская обл.;33 118 890,00;33 099 757,00;19 133,00;0,06
126;-2;НС Банк;3124;Москва и обл.;33 043 862,00;33 911 936,00;-868 074,00;-2,56
127;3;Севергазбанк;2816;Вологодская обл.;32 219 500,00;30 612 506,00;1 606 994,00;5,25
128;38;Мир Бизнес Банк;3396;Москва и обл.;31 342 124,00;20 140 174,00;11 201 950,00;55,62
129;0;Русский Международный Банк;3123;Москва и обл.;31 048 701,00;31 417 215,00;-368 514,00;-1,17
130;2;Интерпромбанк;3266;Москва и обл.;30 921 074,00;29 749 745,00;1 171 329,00;3,94
131;-5;Кредит Урал Банк;2584;Челябинская обл.;30 901 183,00;33 350 699,00;-2 449 516,00;-7,34
132;2;БыстроБанк;1745;Удмуртия;30 759 376,00;29 637 172,00;1 122 204,00;3,79
133;-2;Дальневосточный Банк;843;Приморский край;30 555 421,00;30 452 076,00;103 345,00;0,34
134;1;Интехбанк;2705;Татарстан;30 218 390,00;29 432 835,00;785 555,00;2,67
135;13;Московское Ипотечное Агентство;3344;Москва и обл.;29 997 326,00;25 018 373,00;4 978 953,00;19,90
136;-3;Солидарность;554;Самарская обл.;29 484 123,00;29 730 037,00;-245 914,00;-0,83
137;3;Генбанк;2490;Симферополь;28 749 108,00;27 512 949,00;1 236 159,00;4,49
138;1;Приморье;3001;Приморский край;28 517 745,00;27 802 698,00;715 047,00;2,57
139;-2;Объединенный Капитал;2611;Санкт-Петербург и обл.;28 433 521,00;28 093 563,00;339 958,00;1,21
140;5;Квантмобайл Банк;1189;Москва и обл.;28 368 663,00;26 516 083,00;1 852 580,00;6,99
141;6;Платежный Центр;3166;Новосибирская обл.;27 874 967,00;25 442 564,00;2 432 403,00;9,56
142;-1;МБА-Москва;3395;Москва и обл.;27 853 313,00;27 263 248,00;590 065,00;2,16
143;1;АктивКапитал Банк;3006;Самарская обл.;27 453 655,00;26 650 773,00;802 882,00;3,01
144;-2;Акибанк;2587;Татарстан;27 234 435,00;27 087 346,00;147 089,00;0,54
145;1;АйМаниБанк;1975;Москва и обл.;27 115 187,00;26 305 604,00;809 583,00;3,08
146;-8;Алмазэргиэнбанк;2602;Саха (Якутия);27 102 876,00;27 863 864,00;-760 988,00;-2,73
147;-4;Газбанк;2316;Самарская обл.;27 066 873,00;26 775 565,00;291 308,00;1,09
148;1;Девон-Кредит;1972;Татарстан;26 395 571,00;24 868 653,00;1 526 918,00;6,14
149;1;Москоммерцбанк;3365;Москва и обл.;25 907 250,00;24 609 693,00;1 297 557,00;5,27
150;1;Липецккомбанк;1242;Липецкая обл.;24 957 056,00;24 256 510,00;700 546,00;2,89
151;4;Собинбанк;1317;Москва и обл.;24 316 369,00;23 486 237,00;830 132,00;3,53
152;0;Агропромкредит;2880;Москва и обл.;24 089 682,00;24 153 978,00;-64 296,00;-0,27
153;1;Урал ФД;249;Пермская обл.;23 635 800,00;23 719 668,00;-83 868,00;-0,35
154;7;Ланта-Банк;1920;Москва и обл.;23 518 225,00;21 986 158,00;1 532 067,00;6,97
155;1;Легион;3117;Москва и обл.;22 830 681,00;22 879 551,00;-48 870,00;-0,21
156;1;Спурт Банк;2207;Татарстан;22 415 580,00;22 747 458,00;-331 878,00;-1,46
157;1;Энергобанк;67;Татарстан;22 089 218,00;22 255 108,00;-165 890,00;-0,75
158;4;Роскомснаббанк (бывш. Башкомснаббанк);1398;Башкортостан;22 070 354,00;21 827 549,00;242 805,00;1,11
159;5;СЭБ Банк;3235;Санкт-Петербург и обл.;21 694 239,00;20 907 963,00;786 276,00;3,76
160;0;М2М Прайвет Банк;1414;Москва и обл.;21 595 061,00;22 104 913,00;-509 852,00;-2,31
161;-2;Татсоцбанк;480;Татарстан;21 248 423,00;22 209 853,00;-961 430,00;-4,33
162;9;Данске Банк;3307;Санкт-Петербург и обл.;21 184 087,00;19 407 243,00;1 776 844,00;9,16
163;2;Курскпромбанк;735;Курская обл.;21 050 148,00;20 819 567,00;230 581,00;1,11
164;-1;Натиксис Банк;3390;Москва и обл.;20 429 238,00;21 555 385,00;-1 126 147,00;-5,22
165;5;Энерготрансбанк;1307;Калининградская обл.;20 101 684,00;19 701 187,00;400 497,00;2,03
166;15;Аресбанк;2914;Москва и обл.;19 953 996,00;17 185 374,00;2 768 622,00;16,11
167;1;БМВ Банк;3482;Москва и обл.;19 725 653,00;19 884 733,00;-159 080,00;-0,80
168;1;НБД-Банк;1966;Нижегородская обл.;19 576 845,00;19 834 731,00;-257 886,00;-1,30
169;5;Тольяттихимбанк;2507;Самарская обл.;18 775 597,00;18 491 226,00;284 371,00;1,54
170;2;Мерседес-Бенц Банк Рус;3473;Москва и обл.;18 714 071,00;18 687 706,00;26 365,00;0,14
171;2;Хлынов;254;Кировская обл.;18 708 239,00;18 551 243,00;156 996,00;0,85
172;-5;Морган Стэнли Банк;3456;Москва и обл.;18 707 528,00;20 122 949,00;-1 415 421,00;-7,03
173;5;Джей энд Ти Банк;3061;Москва и обл.;18 576 714,00;17 550 457,00;1 026 257,00;5,85
174;2;Алеф-Банк;2119;Москва и обл.;18 560 794,00;18 078 734,00;482 060,00;2,67
175;0;Рублев;3098;Москва и обл.;18 237 574,00;18 233 612,00;3 962,00;0,02
176;3;Развитие-Столица;3013;Москва и обл.;17 365 859,00;17 470 497,00;-104 638,00;-0,60
177;0;Петербургский Социальный Коммерческий Банк;2551;Санкт-Петербург и обл.;17 352 385,00;17 907 589,00;-555 204,00;-3,10
178;7;Денизбанк Москва;3330;Москва и обл.;16 998 475,00;16 541 529,00;456 946,00;2,76
179;11;Нацинвестпромбанк;3077;Москва и обл.;16 780 514,00;15 763 540,00;1 016 974,00;6,45
180;-27;Финанс Бизнес Банк;520;Москва и обл.;16 657 909,00;23 916 257,00;-7 258 348,00;-30,35
181;6;Темпбанк;55;Москва и обл.;16 610 859,00;16 482 411,00;128 448,00;0,78
182;2;Уралтрансбанк;812;Свердловская обл.;16 548 569,00;16 570 961,00;-22 392,00;-0,14
183;-3;Банк Кредит Свисс;2494;Москва и обл.;16 483 755,00;17 228 634,00;-744 879,00;-4,32
184;2;НК Банк;2755;Москва и обл.;16 462 834,00;16 514 143,00;-51 309,00;-0,31
