Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Март, 2017, тыс. рублей;Февраль, 2017, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;22 294 839 422,00;22 474 428 311,00;-179 588 889,00;-0,80
2;0;ВТБ;1000;Санкт-Петербург и обл.;9 443 604 343,00;9 609 160 400,00;-165 556 057,00;-1,72
3;0;Газпромбанк;354;Москва и обл.;5 231 513 736,00;5 318 681 912,00;-87 168 176,00;-1,64
4;0;ВТБ 24;1623;Москва и обл.;3 190 189 077,00;3 186 420 953,00;3 768 124,00;0,12
5;0;Россельхозбанк;3349;Москва и обл.;2 914 690 683,00;2 914 492 241,00;198 442,00;0,01
6;0;Банк Открытие;2209;Москва и обл.;2 780 142 800,00;2 754 454 963,00;25 687 837,00;0,93
7;1;Альфа-Банк;1326;Москва и обл.;2 359 043 883,00;2 386 886 731,00;-27 842 848,00;-1,17
8;-1;Национальный Клиринговый Центр;3466;Москва и обл.;2 259 608 820,00;2 466 340 972,00;-206 732 152,00;-8,38
9;1;Промсвязьбанк;3251;Москва и обл.;1 304 488 782,00;1 319 570 295,00;-15 081 513,00;-1,14
10;-1;Московский Кредитный Банк;1978;Москва и обл.;1 296 654 265,00;1 375 221 913,00;-78 567 648,00;-5,71
11;0;ЮниКредит Банк;1;Москва и обл.;1 165 514 753,00;1 178 872 770,00;-13 358 017,00;-1,13
12;0;Бинбанк;323;Москва и обл.;1 138 676 233,00;1 157 959 604,00;-19 283 371,00;-1,67
13;0;Райффайзенбанк;3292;Москва и обл.;825 822 195,00;801 523 603,00;24 298 592,00;3,03
14;0;Росбанк;2272;Москва и обл.;807 844 879,00;790 462 010,00;17 382 869,00;2,20
15;0;Россия;328;Санкт-Петербург и обл.;797 651 475,00;742 062 016,00;55 589 459,00;7,49
16;0;БМ-Банк;2748;Москва и обл.;641 448 305,00;657 754 829,00;-16 306 524,00;-2,48
17;0;Рост Банк;2888;Москва и обл.;608 564 889,00;617 712 993,00;-9 148 104,00;-1,48
18;0;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;571 537 995,00;597 111 090,00;-25 573 095,00;-4,28
19;0;Совкомбанк;963;Костромская обл.;556 323 483,00;546 255 128,00;10 068 355,00;1,84
20;2;Московский Областной Банк;1751;Москва и обл.;464 684 510,00;459 063 758,00;5 620 752,00;1,22
21;3;Ситибанк;2557;Москва и обл.;455 929 816,00;451 288 974,00;4 640 842,00;1,03
22;1;Банк Уралсиб;30;Москва и обл.;455 640 520,00;457 045 007,00;-1 404 487,00;-0,31
23;-2;Ак Барс;2590;Татарстан;452 967 823,00;472 123 124,00;-19 155 301,00;-4,06
24;1;Русский Стандарт;2289;Москва и обл.;404 508 452,00;417 004 124,00;-12 495 672,00;-3,00
25;2;Траст;3279;Москва и обл.;402 812 652,00;395 362 566,00;7 450 086,00;1,88
26;0;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;385 853 287,00;402 604 155,00;-16 750 868,00;-4,16
27;-7;Всероссийский Банк Развития Регионов;3287;Москва и обл.;362 592 705,00;499 440 751,00;-136 848 046,00;-27,40
28;0;Банк ДОМ.РФ;2312;Москва и обл.;338 711 854,00;328 742 198,00;9 969 656,00;3,03
29;1;СМП Банк;3368;Москва и обл.;337 267 127,00;318 896 451,00;18 370 676,00;5,76
30;-1;Югра;880;Москва и обл.;318 376 875,00;323 997 506,00;-5 620 631,00;-1,73
31;1;Связь-Банк;1470;Москва и обл.;283 594 048,00;281 285 387,00;2 308 661,00;0,82
32;-1;Восточный Банк;1460;Амурская обл.;274 644 862,00;289 164 849,00;-14 519 987,00;-5,02
33;0;Абсолют Банк;2306;Москва и обл.;273 448 140,00;273 177 316,00;270 824,00;0,10
34;0;Банк Зенит;3255;Москва и обл.;263 911 896,00;257 992 254,00;5 919 642,00;2,29
35;0;Московский Индустриальный Банк;912;Москва и обл.;258 897 282,00;254 179 701,00;4 717 581,00;1,86
36;1;Возрождение;1439;Москва и обл.;246 993 492,00;244 388 007,00;2 605 485,00;1,07
37;-1;Новикомбанк;2546;Москва и обл.;246 083 207,00;245 406 042,00;677 165,00;0,28
38;0;Нордеа Банк;3016;Москва и обл.;228 071 922,00;233 680 277,00;-5 608 355,00;-2,40
39;1;ИНГ Банк;2495;Москва и обл.;224 182 614,00;212 940 988,00;11 241 626,00;5,28
40;-1;Хоум Кредит Банк;316;Москва и обл.;222 644 145,00;222 427 404,00;216 741,00;0,10
41;0;Транскапиталбанк;2210;Москва и обл.;212 575 069,00;212 417 326,00;157 743,00;0,07
42;0;Глобэкс;1942;Москва и обл.;202 083 609,00;205 436 071,00;-3 352 462,00;-1,63
43;7;Банк Сберегательно-Кредитного Сервиса;3224;Москва и обл.;194 389 191,00;156 469 349,00;37 919 842,00;24,23
44;0;Тинькофф Банк;2673;Москва и обл.;187 999 180,00;184 771 060,00;3 228 120,00;1,75
45;0;РосЕвроБанк;3137;Москва и обл.;181 885 334,00;184 461 440,00;-2 576 106,00;-1,40
46;-3;Экспресс-Волга;3085;Костромская обл.;179 649 482,00;187 532 915,00;-7 883 433,00;-4,20
47;0;Сургутнефтегазбанк;588;Ханты-Мансийский АО — Югра;173 834 359,00;167 275 727,00;6 558 632,00;3,92
48;0;ДельтаКредит;3338;Москва и обл.;161 349 423,00;162 937 193,00;-1 587 770,00;-0,97
49;0;МТС Банк;2268;Москва и обл.;155 502 010,00;159 087 015,00;-3 585 005,00;-2,25
50;-4;Национальный Расчетный Депозитарий;3294;Москва и обл.;151 464 028,00;180 376 324,00;-28 912 296,00;-16,03
51;1;Авангард;2879;Москва и обл.;140 757 302,00;143 749 467,00;-2 992 165,00;-2,08
52;2;Почта Банк;650;Москва и обл.;139 546 085,00;136 435 077,00;3 111 008,00;2,28
53;-2;РГС Банк;3073;Москва и обл.;139 269 234,00;145 602 149,00;-6 332 915,00;-4,35
54;-1;ОТП Банк;2766;Москва и обл.;137 550 370,00;139 789 155,00;-2 238 785,00;-1,60
55;0;Азиатско-Тихоокеанский Банк;1810;Амурская обл.;136 545 751,00;134 907 013,00;1 638 738,00;1,21
56;1;Инвестторгбанк;2763;Москва и обл.;131 387 728,00;125 708 393,00;5 679 335,00;4,52
57;-1;СКБ-Банк;705;Свердловская обл.;130 409 667,00;126 278 547,00;4 131 120,00;3,27
58;3;Аверс;415;Татарстан;124 653 868,00;110 424 673,00;14 229 195,00;12,89
59;-1;МСП Банк;3340;Москва и обл.;123 671 106,00;124 076 216,00;-405 110,00;-0,33
60;-1;Кредит Европа Банк;3311;Москва и обл.;122 748 385,00;123 431 314,00;-682 929,00;-0,55
61;-1;Запсибкомбанк;918;Тюменская обл.;113 785 530,00;115 239 149,00;-1 453 619,00;-1,26
62;0;Сетелем Банк;2168;Москва и обл.;109 724 964,00;110 282 221,00;-557 257,00;-0,51
63;1;Русфинанс Банк;1792;Самарская обл.;106 205 032,00;104 212 468,00;1 992 564,00;1,91
64;-1;Ренессанс Кредит;3354;Москва и обл.;104 444 214,00;104 931 145,00;-486 931,00;-0,46
