Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Февраль, 2018, тыс. рублей;Январь, 2018, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;23 923 567 371,00;24 192 989 275,00;-269 421 904,00;-1,11
2;0;ВТБ;1000;Санкт-Петербург и обл.;12 072 943 598,00;9 676 406 129,00;2 396 537 469,00;24,77
3;0;Газпромбанк;354;Москва и обл.;6 073 790 112,00;5 642 446 401,00;431 343 711,00;7,64
4;1;Россельхозбанк;3349;Москва и обл.;3 158 641 358,00;3 193 288 674,00;-34 647 316,00;-1,09
5;1;Национальный Клиринговый Центр;3466;Москва и обл.;3 007 397 735,00;2 900 363 873,00;107 033 862,00;3,69
6;1;Альфа-Банк;1326;Москва и обл.;2 646 159 899,00;2 673 421 083,00;-27 261 184,00;-1,02
7;1;Банк Открытие;2209;Москва и обл.;2 321 983 153,00;2 313 083 060,00;8 900 093,00;0,38
8;1;Московский Кредитный Банк;1978;Москва и обл.;1 984 123 615,00;1 915 685 094,00;68 438 521,00;3,57
9;3;Бинбанк;323;Москва и обл.;1 216 956 605,00;1 214 820 778,00;2 135 827,00;0,18
10;0;Промсвязьбанк;3251;Москва и обл.;1 216 661 311,00;1 278 732 760,00;-62 071 449,00;-4,85
11;0;ЮниКредит Банк;1;Москва и обл.;1 206 280 187,00;1 229 716 815,00;-23 436 628,00;-1,91
12;3;Райффайзенбанк;3292;Москва и обл.;955 536 048,00;871 506 461,00;84 029 587,00;9,64
13;0;Росбанк;2272;Москва и обл.;922 302 443,00;947 533 421,00;-25 230 978,00;-2,66
14;0;Россия;328;Санкт-Петербург и обл.;868 215 335,00;924 215 199,00;-55 999 864,00;-6,06
15;1;Рост Банк;2888;Москва и обл.;794 831 472,00;796 007 440,00;-1 175 968,00;-0,15
16;1;Совкомбанк;963;Костромская обл.;708 913 545,00;696 374 373,00;12 539 172,00;1,80
17;2;Траст;3279;Москва и обл.;622 055 259,00;624 902 088,00;-2 846 829,00;-0,46
18;2;БМ-Банк;2748;Москва и обл.;621 601 705,00;618 740 246,00;2 861 459,00;0,46
19;-1;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;609 534 803,00;641 112 167,00;-31 577 364,00;-4,93
20;1;Банк Уралсиб;30;Москва и обл.;557 197 659,00;564 492 059,00;-7 294 400,00;-1,29
21;1;Московский Областной Банк;1751;Москва и обл.;540 261 116,00;549 115 830,00;-8 854 714,00;-1,61
22;2;Ситибанк;2557;Москва и обл.;526 301 400,00;472 038 351,00;54 263 049,00;11,50
23;0;Всероссийский Банк Развития Регионов;3287;Москва и обл.;509 916 978,00;512 563 333,00;-2 646 355,00;-0,52
24;1;Ак Барс;2590;Татарстан;463 143 631,00;466 319 267,00;-3 175 636,00;-0,68
25;1;Русский Стандарт;2289;Москва и обл.;391 682 965,00;390 756 101,00;926 864,00;0,24
26;1;СМП Банк;3368;Москва и обл.;348 503 844,00;359 185 366,00;-10 681 522,00;-2,97
27;1;Банк ДОМ.РФ;2312;Москва и обл.;323 996 991,00;343 241 780,00;-19 244 789,00;-5,61
28;1;Новикомбанк;2546;Москва и обл.;309 864 753,00;336 200 780,00;-26 336 027,00;-7,83
29;1;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;301 819 839,00;310 266 682,00;-8 446 843,00;-2,72
30;3;Восточный Банк;1460;Амурская обл.;287 648 523,00;285 091 297,00;2 557 226,00;0,90
31;0;Тинькофф Банк;2673;Москва и обл.;285 177 094,00;287 967 670,00;-2 790 576,00;-0,97
32;0;Связь-Банк;1470;Москва и обл.;284 309 746,00;285 758 476,00;-1 448 730,00;-0,51
33;5;Почта Банк;650;Москва и обл.;274 287 894,00;263 843 928,00;10 443 966,00;3,96
34;0;Московский Индустриальный Банк;912;Москва и обл.;273 817 719,00;279 145 420,00;-5 327 701,00;-1,91
35;0;Абсолют Банк;2306;Москва и обл.;269 511 670,00;273 076 597,00;-3 564 927,00;-1,31
36;3;Пересвет;2110;Москва и обл.;264 654 640,00;261 067 417,00;3 587 223,00;1,37
37;0;Хоум Кредит Банк;316;Москва и обл.;264 603 160,00;264 579 672,00;23 488,00;0,01
38;-2;Возрождение;1439;Москва и обл.;260 063 218,00;266 936 992,00;-6 873 774,00;-2,58
39;1;Сургутнефтегазбанк;588;Ханты-Мансийский АО — Югра;236 228 055,00;238 143 373,00;-1 915 318,00;-0,80
40;7;ИНГ Банк;2495;Москва и обл.;218 218 991,00;170 707 562,00;47 511 429,00;27,83
41;1;Банк Зенит;3255;Москва и обл.;213 521 434,00;222 702 305,00;-9 180 871,00;-4,12
42;-1;Транскапиталбанк;2210;Москва и обл.;211 662 523,00;228 065 378,00;-16 402 855,00;-7,19
43;1;РосЕвроБанк;3137;Москва и обл.;204 757 112,00;199 696 061,00;5 061 051,00;2,53
44;10;Национальный Расчетный Депозитарий;3294;Москва и обл.;197 002 915,00;136 716 171,00;60 286 744,00;44,10
45;-2;Экспресс-Волга;3085;Костромская обл.;193 513 582,00;203 991 632,00;-10 478 050,00;-5,14
46;-1;ДельтаКредит;3338;Москва и обл.;176 371 329,00;177 312 959,00;-941 630,00;-0,53
47;-1;Нордеа Банк;3016;Москва и обл.;167 995 260,00;175 806 322,00;-7 811 062,00;-4,44
48;0;МТС Банк;2268;Москва и обл.;164 629 317,00;165 941 826,00;-1 312 509,00;-0,79
49;0;РНКБ;1354;Симферополь;143 411 793,00;147 164 746,00;-3 752 953,00;-2,55
50;1;Инвестторгбанк;2763;Москва и обл.;141 588 343,00;140 955 319,00;633 024,00;0,45
51;1;Авангард;2879;Москва и обл.;141 481 339,00;140 732 123,00;749 216,00;0,53
52;-2;ОТП Банк;2766;Москва и обл.;139 827 872,00;141 564 199,00;-1 736 327,00;-1,23
53;5;Глобэкс;1942;Москва и обл.;133 354 714,00;130 222 935,00;3 131 779,00;2,40
54;2;Ренессанс Кредит;3354;Москва и обл.;132 435 348,00;132 807 198,00;-371 850,00;-0,28
55;7;РГС Банк;3073;Москва и обл.;132 292 504,00;122 648 897,00;9 643 607,00;7,86
56;-3;Аверс;415;Татарстан;130 817 526,00;137 333 273,00;-6 515 747,00;-4,74
57;-2;Сетелем Банк;2168;Москва и обл.;129 486 114,00;133 002 058,00;-3 515 944,00;-2,64
58;-1;Банк АВБ;23;Самарская обл.;128 988 497,00;132 275 181,00;-3 286 684,00;-2,48
59;0;Кредит Европа Банк;3311;Москва и обл.;128 330 416,00;128 287 933,00;42 483,00;0,03
60;0;Азиатско-Тихоокеанский Банк;1810;Амурская обл.;125 933 237,00;125 320 774,00;612 463,00;0,49
61;0;Запсибкомбанк;918;Тюменская обл.;122 343 578,00;123 622 937,00;-1 279 359,00;-1,03
62;3;Банк Финсервис;3388;Москва и обл.;119 405 221,00;116 438 454,00;2 966 767,00;2,55
63;1;Русфинанс Банк;1792;Самарская обл.;119 295 426,00;120 069 317,00;-773 891,00;-0,64
64;-1;СКБ-Банк;705;Свердловская обл.;117 420 818,00;121 004 231,00;-3 583 413,00;-2,96
65;1;Роскосмосбанк;2989;Москва и обл.;111 667 349,00;114 506 593,00;-2 839 244,00;-2,48
66;1;МСП Банк;3340;Москва и обл.;107 451 931,00;110 320 997,00;-2 869 066,00;-2,60
67;1;Таврический Банк;2304;Санкт-Петербург и обл.;107 077 383,00;108 208 444,00;-1 131 061,00;-1,05
68;1;Центр-инвест;2225;Ростовская обл.;105 219 142,00;106 180 851,00;-961 709,00;-0,91
69;1;Росэксимбанк;2790;Москва и обл.;98 517 037,00;95 809 110,00;2 707 927,00;2,83
70;1;Балтинвестбанк;3176;Санкт-Петербург и обл.;90 806 826,00;92 078 510,00;-1 271 684,00;-1,38
71;1;Кубань Кредит;2518;Краснодарский край;88 187 567,00;88 491 994,00;-304 427,00;-0,34
72;2;ЦентроКредит;121;Москва и обл.;84 869 942,00;85 985 827,00;-1 115 885,00;-1,30
73;4;Союз;2307;Москва и обл.;83 682 564,00;79 017 192,00;4 665 372,00;5,90
74;-1;Локо-Банк;2707;Москва и обл.;81 459 688,00;86 841 143,00;-5 381 455,00;-6,20
75;0;РН Банк;170;Москва и обл.;78 517 081,00;80 793 359,00;-2 276 278,00;-2,82
76;2;Металлинвестбанк;2440;Москва и обл.;76 816 107,00;76 469 283,00;346 824,00;0,45
77;-1;Эйч-Эс-Би-Си Банк (HSBC);3290;Москва и обл.;75 923 454,00;80 108 918,00;-4 185 464,00;-5,22
78;91;Банк Кредит Свисс;2494;Москва и обл.;75 684 606,00;17 970 007,00;57 714 599,00;321,17
79;1;Меткомбанк (Каменск-Уральский);2443;Свердловская обл.;68 097 033,00;66 802 874,00;1 294 159,00;1,94
80;-1;Дойче Банк;3328;Москва и обл.;66 481 195,00;73 009 401,00;-6 528 206,00;-8,94
81;0;ОФК Банк;2270;Москва и обл.;63 932 904,00;62 625 884,00;1 307 020,00;2,09
82;0;Тимер Банк;1581;Татарстан;61 678 925,00;61 569 173,00;109 752,00;0,18
83;0;Экспобанк;2998;Москва и обл.;61 375 949,00;61 285 665,00;90 284,00;0,15
84;0;СДМ-Банк;1637;Москва и обл.;59 642 779,00;59 435 616,00;207 163,00;0,35
85;12;Мидзухо Банк;3337;Москва и обл.;58 868 320,00;51 923 733,00;6 944 587,00;13,37
86;1;ББР Банк;2929;Москва и обл.;58 378 855,00;58 155 382,00;223 473,00;0,38
87;-2;Крайинвестбанк;3360;Краснодарский край;57 363 192,00;59 121 782,00;-1 758 590,00;-2,97
