Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Декабрь, 2018, тыс. рублей;Ноябрь, 2018, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;27 356 547 190,00;26 895 476 961,00;461 070 229,00;1,71
2;0;ВТБ;1000;Санкт-Петербург и обл.;13 832 231 418,00;13 693 064 420,00;139 166 998,00;1,02
3;0;Газпромбанк;354;Москва и обл.;6 180 851 382,00;6 258 997 541,00;-78 146 159,00;-1,25
4;0;Национальный Клиринговый Центр;3466;Москва и обл.;3 747 593 685,00;3 502 174 690,00;245 418 995,00;7,01
5;0;Россельхозбанк;3349;Москва и обл.;3 277 672 205,00;3 231 289 297,00;46 382 908,00;1,44
6;0;Альфа-Банк;1326;Москва и обл.;3 243 100 096,00;3 184 931 241,00;58 168 855,00;1,83
7;0;Московский Кредитный Банк;1978;Москва и обл.;2 110 022 181,00;2 056 598 272,00;53 423 909,00;2,60
8;2;Траст;3279;Москва и обл.;1 737 277 341,00;1 383 301 933,00;353 975 408,00;25,59
9;0;Промсвязьбанк;3251;Москва и обл.;1 663 259 532,00;1 635 152 751,00;28 106 781,00;1,72
10;-2;Банк Открытие;2209;Москва и обл.;1 660 982 114,00;1 943 217 458,00;-282 235 344,00;-14,52
11;0;ЮниКредит Банк;1;Москва и обл.;1 451 826 589,00;1 291 991 536,00;159 835 053,00;12,37
12;0;Райффайзенбанк;3292;Москва и обл.;1 057 479 732,00;1 039 150 470,00;18 329 262,00;1,76
13;0;Росбанк;2272;Москва и обл.;1 017 869 507,00;1 013 030 253,00;4 839 254,00;0,48
14;0;Россия;328;Санкт-Петербург и обл.;987 598 714,00;887 132 488,00;100 466 226,00;11,32
15;0;Совкомбанк;963;Костромская обл.;978 765 040,00;787 309 592,00;191 455 448,00;24,32
16;0;Бинбанк;323;Москва и обл.;674 398 516,00;688 738 957,00;-14 340 441,00;-2,08
17;1;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;663 086 779,00;648 877 386,00;14 209 393,00;2,19
18;-1;Всероссийский Банк Развития Регионов;3287;Москва и обл.;638 082 756,00;686 444 085,00;-48 361 329,00;-7,05
19;0;БМ-Банк;2748;Москва и обл.;588 312 390,00;631 232 249,00;-42 919 859,00;-6,80
20;0;Московский Областной Банк;1751;Москва и обл.;575 424 914,00;590 391 299,00;-14 966 385,00;-2,53
21;2;Ситибанк;2557;Москва и обл.;537 358 512,00;516 590 409,00;20 768 103,00;4,02
22;0;Банк Уралсиб;30;Москва и обл.;532 469 446,00;519 104 621,00;13 364 825,00;2,57
23;-2;Ак Барс;2590;Татарстан;529 216 174,00;535 842 365,00;-6 626 191,00;-1,24
