Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Апрель, 2019, тыс. рублей;Март, 2019, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;28 415 324 467,00;28 357 071 793,00;58 252 674,00;0,21
2;0;ВТБ;1000;Санкт-Петербург и обл.;13 853 676 703,00;13 941 983 769,00;-88 307 066,00;-0,63
3;0;Газпромбанк;354;Москва и обл.;6 107 996 366,00;6 274 990 547,00;-166 994 181,00;-2,66
4;0;Национальный Клиринговый Центр;3466;Москва и обл.;4 274 617 797,00;3 986 509 038,00;288 108 759,00;7,23
5;0;Россельхозбанк;3349;Москва и обл.;3 648 868 388,00;3 381 846 671,00;267 021 717,00;7,90
6;0;Альфа-Банк;1326;Москва и обл.;3 278 387 210,00;3 290 037 343,00;-11 650 133,00;-0,35
7;0;Московский Кредитный Банк;1978;Москва и обл.;2 217 848 935,00;2 167 417 851,00;50 431 084,00;2,33
8;0;Банк Открытие;2209;Москва и обл.;2 134 090 962,00;2 157 394 981,00;-23 304 019,00;-1,08
9;0;Промсвязьбанк;3251;Москва и обл.;1 694 092 229,00;1 605 991 402,00;88 100 827,00;5,49
10;0;ЮниКредит Банк;1;Москва и обл.;1 487 122 670,00;1 448 183 351,00;38 939 319,00;2,69
11;3;Траст;3279;Москва и обл.;1 321 984 156,00;1 018 639 367,00;303 344 789,00;29,78
12;0;Росбанк;2272;Москва и обл.;1 121 863 375,00;1 068 246 629,00;53 616 746,00;5,02
13;-2;Райффайзенбанк;3292;Москва и обл.;1 119 679 450,00;1 171 340 599,00;-51 661 149,00;-4,41
14;1;Совкомбанк;963;Костромская обл.;1 031 700 049,00;1 007 743 702,00;23 956 347,00;2,38
15;-2;Россия;328;Санкт-Петербург и обл.;980 368 005,00;1 024 313 328,00;-43 945 323,00;-4,29
16;1;Всероссийский Банк Развития Регионов;3287;Москва и обл.;694 327 692,00;649 049 897,00;45 277 795,00;6,98
17;-1;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;683 458 927,00;681 025 025,00;2 433 902,00;0,36
18;2;Ак Барс;2590;Татарстан;582 337 559,00;544 774 032,00;37 563 527,00;6,90
19;-1;Банк Уралсиб;30;Москва и обл.;561 564 716,00;556 473 224,00;5 091 492,00;0,91
20;2;Московский Областной Банк;1751;Москва и обл.;559 340 109,00;534 256 483,00;25 083 626,00;4,70
21;0;Ситибанк;2557;Москва и обл.;542 424 608,00;541 023 525,00;1 401 083,00;0,26
22;-3;БМ-Банк;2748;Москва и обл.;529 885 774,00;544 856 143,00;-14 970 369,00;-2,75
23;0;СМП Банк;3368;Москва и обл.;478 298 372,00;470 035 362,00;8 263 010,00;1,76
24;1;Тинькофф Банк;2673;Москва и обл.;439 552 941,00;418 992 461,00;20 560 480,00;4,91
25;-1;Новикомбанк;2546;Москва и обл.;437 703 257,00;428 449 513,00;9 253 744,00;2,16
26;0;Почта Банк;650;Москва и обл.;427 910 580,00;416 766 542,00;11 144 038,00;2,67
27;0;Связь-Банк;1470;Москва и обл.;352 712 549,00;367 780 082,00;-15 067 533,00;-4,10
28;1;Русский Стандарт;2289;Москва и обл.;351 981 660,00;351 894 700,00;86 960,00;0,02
29;1;Пересвет;2110;Москва и обл.;326 664 195,00;326 825 291,00;-161 096,00;-0,05
30;1;Московский Индустриальный Банк;912;Москва и обл.;283 760 087,00;287 453 576,00;-3 693 489,00;-1,28
31;2;Возрождение;1439;Москва и обл.;282 229 510,00;285 542 359,00;-3 312 849,00;-1,16
32;0;Восточный Банк;1460;Амурская обл.;275 307 012,00;286 618 210,00;-11 311 198,00;-3,95
33;2;Абсолют Банк;2306;Москва и обл.;270 944 543,00;264 314 682,00;6 629 861,00;2,51
34;2;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;265 019 759,00;259 216 370,00;5 803 389,00;2,24
35;2;Хоум Кредит Банк;316;Москва и обл.;261 494 186,00;257 084 212,00;4 409 974,00;1,72
36;-2;Сургутнефтегазбанк;588;Ханты-Мансийский АО — Югра;260 221 657,00;273 238 805,00;-13 017 148,00;-4,76
