Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Июнь, 2019, тыс. рублей;Май, 2019, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;28 560 676 004,00;28 592 573 617,00;-31 897 613,00;-0,11
2;0;ВТБ;1000;Санкт-Петербург и обл.;14 414 497 577,00;14 430 799 659,00;-16 302 082,00;-0,11
3;0;Газпромбанк;354;Москва и обл.;6 082 909 381,00;6 049 417 173,00;33 492 208,00;0,55
4;0;Национальный Клиринговый Центр;3466;Москва и обл.;3 816 768 418,00;3 751 815 216,00;64 953 202,00;1,73
5;0;Россельхозбанк;3349;Москва и обл.;3 365 401 552,00;3 419 539 096,00;-54 137 544,00;-1,58
6;0;Альфа-Банк;1326;Москва и обл.;3 316 518 971,00;3 310 463 548,00;6 055 423,00;0,18
7;0;Московский Кредитный Банк;1978;Москва и обл.;2 187 597 019,00;2 225 490 667,00;-37 893 648,00;-1,70
8;0;Банк Открытие;2209;Москва и обл.;2 156 870 954,00;2 145 808 538,00;11 062 416,00;0,52
9;0;ЮниКредит Банк;1;Москва и обл.;1 472 642 084,00;1 476 456 902,00;-3 814 818,00;-0,26
10;0;Траст;3279;Москва и обл.;1 316 807 626,00;1 316 059 930,00;747 696,00;0,06
11;0;Райффайзенбанк;3292;Москва и обл.;1 189 213 324,00;1 133 579 634,00;55 633 690,00;4,91
12;0;Росбанк;2272;Москва и обл.;1 129 661 569,00;1 094 227 625,00;35 433 944,00;3,24
13;0;Совкомбанк;963;Костромская обл.;1 014 129 670,00;1 025 859 705,00;-11 730 035,00;-1,14
14;0;Россия;328;Санкт-Петербург и обл.;1 001 387 246,00;1 011 670 867,00;-10 283 621,00;-1,02
15;0;Всероссийский Банк Развития Регионов;3287;Москва и обл.;677 282 413,00;643 410 652,00;33 871 761,00;5,26
16;0;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;663 436 094,00;642 045 229,00;21 390 865,00;3,33
17;2;Банк Уралсиб;30;Москва и обл.;572 998 087,00;551 943 416,00;21 054 671,00;3,81
18;-1;Ак Барс;2590;Татарстан;558 750 654,00;563 894 556,00;-5 143 902,00;-0,91
19;-1;Московский Областной Банк;1751;Москва и обл.;554 689 303,00;553 836 504,00;852 799,00;0,15
20;1;Ситибанк;2557;Москва и обл.;533 784 289,00;511 150 098,00;22 634 191,00;4,43
21;-1;БМ-Банк;2748;Москва и обл.;530 434 092,00;528 969 926,00;1 464 166,00;0,28
22;1;Тинькофф Банк;2673;Москва и обл.;471 870 298,00;456 312 553,00;15 557 745,00;3,41
23;-1;СМП Банк;3368;Москва и обл.;470 443 403,00;479 532 387,00;-9 088 984,00;-1,90
24;0;Новикомбанк;2546;Москва и обл.;447 977 578,00;450 788 616,00;-2 811 038,00;-0,62
25;0;Почта Банк;650;Москва и обл.;444 796 571,00;435 498 450,00;9 298 121,00;2,14
26;0;Русский Стандарт;2289;Москва и обл.;340 079 859,00;344 573 839,00;-4 493 980,00;-1,30
27;0;Связь-Банк;1470;Москва и обл.;337 297 727,00;339 984 434,00;-2 686 707,00;-0,79
28;0;Пересвет;2110;Москва и обл.;327 565 777,00;328 845 619,00;-1 279 842,00;-0,39
29;9;ИНГ Банк;2495;Москва и обл.;315 917 570,00;217 595 732,00;98 321 838,00;45,19
30;-1;Банк ДОМ.РФ;2312;Москва и обл.;295 078 344,00;294 006 395,00;1 071 949,00;0,36
31;-1;Московский Индустриальный Банк;912;Москва и обл.;284 482 924,00;284 148 317,00;334 607,00;0,12
32;-1;Возрождение;1439;Москва и обл.;282 802 324,00;277 464 600,00;5 337 724,00;1,92
33;-1;Восточный Банк;1460;Амурская обл.;273 140 314,00;275 818 685,00;-2 678 371,00;-0,97
34;-1;Абсолют Банк;2306;Москва и обл.;272 299 530,00;271 431 543,00;867 987,00;0,32
