Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Октябрь, 2020, тыс. рублей;Сентябрь, 2020, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;33 860 495 735,00;32 520 553 846,00;1 339 941 889,00;4,12
2;0;ВТБ;1000;Санкт-Петербург и обл.;16 252 903 944,00;15 885 733 519,00;367 170 425,00;2,31
3;0;Газпромбанк;354;Москва и обл.;7 511 308 199,00;7 304 301 217,00;207 006 982,00;2,83
4;0;Национальный Клиринговый Центр;3466;Москва и обл.;5 075 380 220,00;4 876 541 776,00;198 838 444,00;4,08
5;0;Альфа-Банк;1326;Москва и обл.;4 408 340 461,00;4 175 964 790,00;232 375 671,00;5,56
6;0;Россельхозбанк;3349;Москва и обл.;3 790 943 834,00;3 667 162 990,00;123 780 844,00;3,38
7;0;Московский Кредитный Банк;1978;Москва и обл.;3 055 383 552,00;2 900 072 045,00;155 311 507,00;5,36
8;0;Банк Открытие;2209;Москва и обл.;2 825 878 786,00;2 763 361 104,00;62 517 682,00;2,26
9;0;Совкомбанк;963;Костромская обл.;1 633 487 599,00;1 602 061 927,00;31 425 672,00;1,96
10;1;Райффайзенбанк;3292;Москва и обл.;1 460 825 989,00;1 392 049 011,00;68 776 978,00;4,94
11;-1;Росбанк;2272;Москва и обл.;1 400 036 683,00;1 401 851 051,00;-1 814 368,00;-0,13
12;0;Траст;3279;Москва и обл.;1 394 324 928,00;1 368 311 725,00;26 013 203,00;1,90
13;0;ЮниКредит Банк;1;Москва и обл.;1 346 597 013,00;1 335 123 371,00;11 473 642,00;0,86
14;0;Россия;328;Санкт-Петербург и обл.;1 072 446 747,00;1 043 628 221,00;28 818 526,00;2,76
15;0;Всероссийский Банк Развития Регионов;3287;Москва и обл.;909 902 292,00;895 898 972,00;14 003 320,00;1,56
16;1;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;761 727 012,00;724 561 251,00;37 165 761,00;5,13
17;-1;Тинькофф Банк;2673;Москва и обл.;761 534 398,00;749 454 875,00;12 079 523,00;1,61
18;0;Ситибанк;2557;Москва и обл.;705 749 474,00;707 779 294,00;-2 029 820,00;-0,29
19;0;Ак Барс;2590;Татарстан;628 839 155,00;643 290 092,00;-14 450 937,00;-2,25
20;4;СМП Банк;3368;Москва и обл.;576 862 935,00;515 579 902,00;61 283 033,00;11,89
21;-1;БМ-Банк;2748;Москва и обл.;560 672 511,00;571 723 065,00;-11 050 554,00;-1,93
22;0;Банк Уралсиб;30;Москва и обл.;552 457 395,00;538 397 091,00;14 060 304,00;2,61
23;-2;Новикомбанк;2546;Москва и обл.;545 179 084,00;562 678 067,00;-17 498 983,00;-3,11
24;-1;Почта Банк;650;Москва и обл.;542 549 942,00;522 895 281,00;19 654 661,00;3,76
25;0;Банк ДОМ.РФ;2312;Москва и обл.;499 585 630,00;462 231 437,00;37 354 193,00;8,08
26;0;Московский Областной Банк;1751;Москва и обл.;474 159 919,00;421 000 363,00;53 159 556,00;12,63
27;0;Московский Индустриальный Банк;912;Москва и обл.;410 114 582,00;414 671 650,00;-4 557 068,00;-1,10
28;0;Пересвет;2110;Москва и обл.;348 639 757,00;345 175 338,00;3 464 419,00;1,00
29;0;Русский Стандарт;2289;Москва и обл.;332 023 929,00;327 277 085,00;4 746 844,00;1,45
30;4;Национальный Расчетный Депозитарий;3294;Москва и обл.;295 868 472,00;255 740 062,00;40 128 410,00;15,69
31;-1;Абсолют Банк;2306;Москва и обл.;281 790 546,00;285 936 716,00;-4 146 170,00;-1,45
32;-1;РНКБ;1354;Симферополь;279 479 376,00;277 184 338,00;2 295 038,00;0,83
33;0;Возрождение;1439;Москва и обл.;257 265 909,00;259 627 374,00;-2 361 465,00;-0,91
34;-2;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;255 113 806,00;264 894 418,00;-9 780 612,00;-3,69
35;0;Хоум Кредит Банк;316;Москва и обл.;250 574 449,00;250 884 003,00;-309 554,00;-0,12
36;0;Восточный Банк;1460;Амурская обл.;245 185 040,00;240 522 027,00;4 663 013,00;1,94
37;1;Банк Зенит;3255;Москва и обл.;240 583 689,00;231 416 519,00;9 167 170,00;3,96
38;1;МТС Банк;2268;Москва и обл.;224 336 776,00;227 931 373,00;-3 594 597,00;-1,58
39;-2;ИНГ Банк;2495;Москва и обл.;221 864 198,00;236 134 993,00;-14 270 795,00;-6,04
40;0;Инвестторгбанк;2763;Москва и обл.;196 097 579,00;196 735 172,00;-637 593,00;-0,32
41;1;Росэксимбанк;2790;Москва и обл.;189 153 545,00;182 684 654,00;6 468 891,00;3,54
42;-1;Транскапиталбанк;2210;Москва и обл.;185 784 958,00;184 420 408,00;1 364 550,00;0,74
43;0;ОТП Банк;2766;Москва и обл.;161 658 130,00;162 289 258,00;-631 128,00;-0,39
44;0;Сетелем Банк;2168;Москва и обл.;158 899 033,00;159 883 144,00;-984 111,00;-0,62
45;0;Ренессанс Кредит;3354;Москва и обл.;158 439 754,00;157 990 190,00;449 564,00;0,28
46;0;МСП Банк;3340;Москва и обл.;151 018 037,00;148 887 822,00;2 130 215,00;1,43
47;0;Русфинанс Банк;1792;Самарская обл.;146 464 739,00;148 381 015,00;-1 916 276,00;-1,29
48;0;Дойче Банк;3328;Москва и обл.;141 442 111,00;141 575 715,00;-133 604,00;-0,09
49;2;Азиатско-Тихоокеанский Банк;1810;Амурская обл.;138 758 643,00;133 677 154,00;5 081 489,00;3,80
50;0;Авангард;2879;Москва и обл.;137 079 059,00;137 781 747,00;-702 688,00;-0,51
51;-2;Кредит Европа Банк;3311;Москва и обл.;136 769 461,00;140 238 104,00;-3 468 643,00;-2,47
52;1;Роскосмосбанк;2989;Москва и обл.;131 360 592,00;129 870 879,00;1 489 713,00;1,15
53;3;ВУЗ-Банк;1557;Свердловская обл.;126 588 717,00;119 747 338,00;6 841 379,00;5,71
54;0;Таврический Банк;2304;Санкт-Петербург и обл.;125 810 869,00;126 657 790,00;-846 921,00;-0,67
55;0;Центр-инвест;2225;Ростовская обл.;124 268 805,00;122 879 559,00;1 389 246,00;1,13
56;-4;Запсибкомбанк;918;Тюменская обл.;124 253 831,00;133 554 516,00;-9 300 685,00;-6,96
57;1;Кубань Кредит;2518;Краснодарский край;119 934 569,00;117 353 728,00;2 580 841,00;2,20
58;10;Локо-Банк;2707;Москва и обл.;117 365 112,00;96 748 817,00;20 616 295,00;21,31
59;1;Банк Финсервис;3388;Москва и обл.;115 311 990,00;114 145 220,00;1 166 770,00;1,02
60;1;ЦентроКредит;121;Москва и обл.;114 997 448,00;114 094 483,00;902 965,00;0,79
61;-4;Сургутнефтегазбанк;588;Ханты-Мансийский АО — Югра;112 898 867,00;118 801 601,00;-5 902 734,00;-4,97
62;1;ББР Банк;2929;Москва и обл.;112 609 053,00;106 436 227,00;6 172 826,00;5,80
63;-1;Металлинвестбанк;2440;Москва и обл.;112 100 331,00;106 620 618,00;5 479 713,00;5,14
64;2;Мидзухо Банк;3337;Москва и обл.;111 381 790,00;98 058 256,00;13 323 534,00;13,59
65;-6;Аверс;415;Татарстан;110 520 880,00;115 303 182,00;-4 782 302,00;-4,15
66;-2;РН Банк;170;Москва и обл.;108 200 754,00;101 539 984,00;6 660 770,00;6,56
