Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Август, 2020, тыс. рублей;Июль, 2020, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;32 038 692 505,00;31 415 098 095,00;623 594 410,00;1,99
2;0;ВТБ;1000;Санкт-Петербург и обл.;15 812 570 376,00;15 269 639 853,00;542 930 523,00;3,56
3;0;Газпромбанк;354;Москва и обл.;7 464 298 277,00;7 031 457 276,00;432 841 001,00;6,16
4;0;Национальный Клиринговый Центр;3466;Москва и обл.;4 758 431 795,00;4 487 642 224,00;270 789 571,00;6,03
5;0;Альфа-Банк;1326;Москва и обл.;4 045 250 732,00;3 937 290 975,00;107 959 757,00;2,74
6;0;Россельхозбанк;3349;Москва и обл.;3 669 968 288,00;3 619 545 036,00;50 423 252,00;1,39
7;0;Московский Кредитный Банк;1978;Москва и обл.;2 897 123 280,00;2 841 108 461,00;56 014 819,00;1,97
8;0;Банк Открытие;2209;Москва и обл.;2 860 035 302,00;2 834 457 224,00;25 578 078,00;0,90
9;0;Совкомбанк;963;Костромская обл.;1 592 289 496,00;1 574 405 911,00;17 883 585,00;1,14
10;1;Росбанк;2272;Москва и обл.;1 432 371 007,00;1 392 055 244,00;40 315 763,00;2,90
11;1;Райффайзенбанк;3292;Москва и обл.;1 354 125 872,00;1 328 782 624,00;25 343 248,00;1,91
12;-2;ЮниКредит Банк;1;Москва и обл.;1 340 365 233,00;1 447 538 742,00;-107 173 509,00;-7,40
13;0;Траст;3279;Москва и обл.;1 307 468 754,00;1 296 257 848,00;11 210 906,00;0,86
14;0;Россия;328;Санкт-Петербург и обл.;1 084 897 145,00;1 077 139 159,00;7 757 986,00;0,72
15;0;Всероссийский Банк Развития Регионов;3287;Москва и обл.;815 164 724,00;820 701 631,00;-5 536 907,00;-0,67
16;0;Тинькофф Банк;2673;Москва и обл.;753 369 086,00;710 608 163,00;42 760 923,00;6,02
17;0;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;720 452 698,00;709 066 567,00;11 386 131,00;1,61
18;0;БМ-Банк;2748;Москва и обл.;661 244 392,00;670 040 063,00;-8 795 671,00;-1,31
19;0;Ак Барс;2590;Татарстан;647 789 158,00;630 984 053,00;16 805 105,00;2,66
20;0;Ситибанк;2557;Москва и обл.;644 298 472,00;620 062 723,00;24 235 749,00;3,91
21;1;Банк Уралсиб;30;Москва и обл.;544 550 218,00;521 639 281,00;22 910 937,00;4,39
22;-1;Новикомбанк;2546;Москва и обл.;538 125 586,00;537 671 079,00;454 507,00;0,08
23;0;Почта Банк;650;Москва и обл.;520 070 292,00;517 152 553,00;2 917 739,00;0,56
24;0;СМП Банк;3368;Москва и обл.;508 299 782,00;484 851 977,00;23 447 805,00;4,84
25;0;Московский Индустриальный Банк;912;Москва и обл.;431 471 160,00;422 763 903,00;8 707 257,00;2,06
26;0;Банк ДОМ.РФ;2312;Москва и обл.;420 922 785,00;396 157 419,00;24 765 366,00;6,25
27;0;Московский Областной Банк;1751;Москва и обл.;406 214 171,00;395 753 975,00;10 460 196,00;2,64
28;0;Пересвет;2110;Москва и обл.;348 816 052,00;336 370 237,00;12 445 815,00;3,70
29;0;Русский Стандарт;2289;Москва и обл.;328 498 923,00;327 412 353,00;1 086 570,00;0,33
30;2;Абсолют Банк;2306;Москва и обл.;280 768 044,00;274 742 082,00;6 025 962,00;2,19
31;2;РНКБ;1354;Симферополь;271 368 516,00;264 257 497,00;7 111 019,00;2,69
32;-1;Возрождение;1439;Москва и обл.;266 534 002,00;276 317 249,00;-9 783 247,00;-3,54
33;2;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;263 940 723,00;247 331 972,00;16 608 751,00;6,72
34;0;Хоум Кредит Банк;316;Москва и обл.;254 437 383,00;259 344 959,00;-4 907 576,00;-1,89
35;1;Восточный Банк;1460;Амурская обл.;240 870 393,00;243 027 773,00;-2 157 380,00;-0,89
36;2;Банк Зенит;3255;Москва и обл.;238 819 729,00;230 312 450,00;8 507 279,00;3,69
37;0;МТС Банк;2268;Москва и обл.;228 496 040,00;234 875 523,00;-6 379 483,00;-2,72
38;1;Национальный Расчетный Депозитарий;3294;Москва и обл.;210 045 601,00;228 048 705,00;-18 003 104,00;-7,89
39;2;ИНГ Банк;2495;Москва и обл.;207 248 384,00;200 462 851,00;6 785 533,00;3,38
40;0;Инвестторгбанк;2763;Москва и обл.;198 433 858,00;201 063 993,00;-2 630 135,00;-1,31
41;2;Росэксимбанк;2790;Москва и обл.;178 489 211,00;173 923 774,00;4 565 437,00;2,62
42;0;Транскапиталбанк;2210;Москва и обл.;177 319 238,00;174 318 354,00;3 000 884,00;1,72
43;1;Ренессанс Кредит;3354;Москва и обл.;162 696 976,00;164 244 160,00;-1 547 184,00;-0,94
44;1;ОТП Банк;2766;Москва и обл.;162 250 078,00;160 700 607,00;1 549 471,00;0,96
45;1;Сетелем Банк;2168;Москва и обл.;156 426 786,00;152 802 826,00;3 623 960,00;2,37
46;1;Русфинанс Банк;1792;Самарская обл.;147 490 035,00;149 934 643,00;-2 444 608,00;-1,63
47;1;Запсибкомбанк;918;Тюменская обл.;145 437 062,00;149 735 077,00;-4 298 015,00;-2,87
48;1;МСП Банк;3340;Москва и обл.;145 008 136,00;145 157 615,00;-149 479,00;-0,10
49;1;Кредит Европа Банк;3311;Москва и обл.;144 923 545,00;142 639 977,00;2 283 568,00;1,60
50;1;Таврический Банк;2304;Санкт-Петербург и обл.;141 463 450,00;140 121 810,00;1 341 640,00;0,96
51;1;Авангард;2879;Москва и обл.;137 315 519,00;131 334 351,00;5 981 168,00;4,55
52;1;Дойче Банк;3328;Москва и обл.;137 277 812,00;131 121 211,00;6 156 601,00;4,70
53;1;Роскосмосбанк;2989;Москва и обл.;128 332 679,00;125 292 149,00;3 040 530,00;2,43
54;3;Азиатско-Тихоокеанский Банк;1810;Амурская обл.;124 872 429,00;115 995 943,00;8 876 486,00;7,65
55;6;ВУЗ-Банк;1557;Свердловская обл.;122 885 971,00;105 690 311,00;17 195 660,00;16,27
56;0;Центр-инвест;2225;Ростовская обл.;121 527 316,00;116 435 942,00;5 091 374,00;4,37
57;-27;Сургутнефтегазбанк;588;Ханты-Мансийский АО — Югра;118 548 763,00;289 832 125,00;-171 283 362,00;-59,10
58;-3;Аверс;415;Татарстан;117 287 205,00;121 668 195,00;-4 380 990,00;-3,60
59;0;Кубань Кредит;2518;Краснодарский край;114 878 261,00;112 326 851,00;2 551 410,00;2,27
60;0;Банк Финсервис;3388;Москва и обл.;113 910 005,00;111 729 090,00;2 180 915,00;1,95
61;-3;ЦентроКредит;121;Москва и обл.;112 526 657,00;114 261 777,00;-1 735 120,00;-1,52
62;0;Металлинвестбанк;2440;Москва и обл.;106 913 478,00;104 726 732,00;2 186 746,00;2,09
63;2;ББР Банк;2929;Москва и обл.;103 883 169,00;99 770 390,00;4 112 779,00;4,12
64;-1;РН Банк;170;Москва и обл.;99 115 391,00;101 594 911,00;-2 479 520,00;-2,44
65;1;Экспобанк;2998;Москва и обл.;98 143 617,00;98 262 422,00;-118 805,00;-0,12
66;1;Локо-Банк;2707;Москва и обл.;93 407 745,00;92 701 994,00;705 751,00;0,76
67;1;Союз;2307;Москва и обл.;90 376 020,00;89 708 233,00;667 787,00;0,74
68;-4;Мидзухо Банк;3337;Москва и обл.;86 645 778,00;99 822 306,00;-13 176 528,00;-13,20
69;4;Сумитомо Мицуи Рус Банк;3494;Москва и обл.;85 631 720,00;74 940 234,00;10 691 486,00;14,27
70;-1;СКБ-Банк;705;Свердловская обл.;84 507 870,00;86 270 253,00;-1 762 383,00;-2,04
71;-1;Эм-Ю-Эф-Джи Банк (Евразия);3465;Москва и обл.;80 849 992,00;81 634 750,00;-784 758,00;-0,96
72;0;Тойота Банк;3470;Москва и обл.;77 192 837,00;77 387 109,00;-194 272,00;-0,25
73;29;СЭБ Банк;3235;Санкт-Петербург и обл.;76 987 750,00;45 084 323,00;31 903 427,00;70,76
74;7;Эйч-Эс-Би-Си Банк (HSBC);3290;Москва и обл.;74 383 217,00;70 037 092,00;4 346 125,00;6,21
75;8;АйСиБиСи Банк;3475;Москва и обл.;74 147 200,00;69 074 467,00;5 072 733,00;7,34
76;-1;Левобережный;1343;Новосибирская обл.;74 069 185,00;73 895 566,00;173 619,00;0,23
77;0;СДМ-Банк;1637;Москва и обл.;73 523 910,00;71 788 602,00;1 735 308,00;2,42
78;-4;Балтинвестбанк;3176;Санкт-Петербург и обл.;72 297 489,00;74 221 126,00;-1 923 637,00;-2,59
79;3;БКС Банк;101;Москва и обл.;71 555 642,00;70 033 332,00;1 522 310,00;2,17
80;0;Банк Интеза;2216;Москва и обл.;71 381 957,00;70 186 019,00;1 195 938,00;1,70
81;-5;Коммерцбанк (Евразия);3333;Москва и обл.;71 242 772,00;73 544 156,00;-2 301 384,00;-3,13
82;-3;Примсоцбанк;2733;Приморский край;70 895 976,00;70 330 957,00;565 019,00;0,80
83;-5;Меткомбанк (Каменск-Уральский);2443;Свердловская обл.;68 150 752,00;70 934 486,00;-2 783 734,00;-3,92
84;59;Банк Кредит Свисс;2494;Москва и обл.;67 823 798,00;20 366 907,00;47 456 891,00;233,01
85;-1;Газэнергобанк;3252;Калужская обл.;66 569 521,00;66 770 447,00;-200 926,00;-0,30
86;5;БНП Париба Банк;3407;Москва и обл.;65 716 972,00;57 195 104,00;8 521 868,00;14,90
87;-2;РГС Банк;3073;Москва и обл.;61 498 903,00;60 182 228,00;1 316 675,00;2,19
