iter	F1	Logloss
0	0.144	0.689593433
1	0.2135058633	0.6867506747
2	0.2789616428	0.6833119581
3	0.3023344814	0.6804099952
4	0.307868602	0.6779945984
5	0.3497591701	0.6756686614
6	0.3649045521	0.6732504758
7	0.3964093357	0.6704689227
8	0.4298276469	0.6677404933
9	0.4356366187	0.665026115
10	0.4443669341	0.6628204307
11	0.4445219819	0.6604116111
12	0.4471488178	0.6586022216
13	0.4449093445	0.6563317247
14	0.4523312457	0.6539745538
15	0.4715947981	0.6520793231
16	0.4743807262	0.650519638
17	0.464604811	0.6489019891
18	0.4690174598	0.6474681314
19	0.4613793103	0.645675666
20	0.4688142563	0.6442416505
21	0.4641263302	0.6430757443
22	0.4644452078	0.6418097876
23	0.4671232877	0.6401400847
24	0.462173315	0.6387385636
25	0.4663923182	0.6372817693
26	0.4713114754	0.636111118
27	0.4735585125	0.6348938397
28	0.4773886433	0.6336441768
29	0.480840963	0.6322094392
30	0.4825482887	0.6307776801
31	0.47913132	0.6295290106
32	0.4865047233	0.6283278365
33	0.4866328257	0.6272097206
34	0.482688391	0.626206881
35	0.4854434665	0.6249590737
36	0.4890387858	0.6240482901
37	0.4934453782	0.6230601923
38	0.4907438573	0.6218143449
39	0.4936112979	0.6210536933
40	0.4994978239	0.6201741679
41	0.5023411371	0.6194607306
42	0.5058313895	0.6185056058
43	0.5065065065	0.6173285853
44	0.5074626866	0.6162554907
45	0.5132100396	0.6152794984
46	0.5141914191	0.614405732
47	0.5073138298	0.6132800572
48	0.506817426	0.6124618462
49	0.5091271158	0.6117625726
50	0.5066489362	0.6106671467
51	0.5086321381	0.6098916855
52	0.5120263591	0.6089319876
53	0.5110451698	0.6082743825
54	0.5134602758	0.6075969772
55	0.5206017005	0.6068360121
56	0.5191992123	0.6062762498
57	0.5197109067	0.6052589016
58	0.5187870798	0.6042221062
59	0.5239658569	0.6033921836660	0.526695054	0.6025756826661	0.5258001306	0.6019602796662	0.5265905383	0.6012288771663	0.526247147	0.6007360839
64	0.5280312907	0.6000983105
65	0.5303867403	0.5994496114
66	0.5324675325	0.5986536497
67	0.5335929893	0.5981431252
68	0.5362225097	0.5974230256
69	0.5384118786	0.5967490067770	0.5412371134	0.5960441472771	0.5440514469	0.595376646
72	0.541894061	0.5947006585
73	0.5414258189	0.5943409055
74	0.541894061	0.5936193653
75	0.5444052581	0.5929612527
76	0.5479539642	0.5921863051
77	0.5467349552	0.591498767
78	0.5492327366	0.5909426399
79	0.5513720485	0.5904190578
80	0.5524720893	0.5898989122
81	0.5546004457	0.5892883821
82	0.5561565383	0.5883663078
83	0.5584498094	0.5877938365
84	0.5571791614	0.5872273648
85	0.5571791614	0.5867670341
86	0.557844691	0.5861882688
87	0.5593166719	0.5855573409
88	0.5606826802	0.5849553575
89	0.5645872716	0.5843363888
