iter	Passed	Remaining
0	121	121843
1	164	82184
2	201	66960
3	248	61806
4	293	58433
5	338	56112
6	385	54647
7	429	53219
8	470	51834
9	515	50993
10	552	49697
11	598	49244
12	657	49921
13	705	49710
14	758	49836
15	815	50153
16	868	50205
17	915	49936
18	979	50563
19	1024	50199
20	1084	50549
21	1136	50503
22	1183	50255
23	1232	50115
24	1281	49963
25	1335	50013
26	1382	49827
27	1428	49595
28	1480	49557
29	1529	49453
30	1582	49466
31	1623	49123
32	1667	48865
33	1714	48716
34	1755	48400
35	1804	48332
36	1854	48279
37	1898	48063
38	1939	47782
39	1981	47547
40	2022	47297
41	2060	46990
42	2100	46737
43	2148	46672
44	2189	46463
45	2229	46229
46	2270	46030
47	2315	45921
48	2357	45745
49	2402	45647
50	2462	45830
51	2513	45821
52	2558	45706
53	2607	45687
54	2652	45574
55	2699	45503
56	2747	45452
57	2793	45370
58	2840	45308
59	2891	45303
60	2939	45249
61	2990	45237
62	3039	45205
63	3084	45110
64	3132	45058
65	3178	44979
66	3224	44903
67	3266	44772
68	3307	44621
69	3344	44438
70	3397	44452
71	3435	44285
72	3477	44162
73	3521	44061
74	3565	43975
75	3617	43980
76	3663	43919
77	3719	43969
78	3771	43969
79	3814	43861
80	3865	43855
81	3920	43894
82	3977	43943
83	4027	43917
84	4080	43922
85	4132	43922
86	4182	43894
87	4233	43876
88	4281	43822
89	4330	43784
90	4371	43662
91	4416	43592
92	4464	43541
93	4504	43414
94	4550	43349
95	4596	43283
96	4643	43226
97	4687	43145
98	4734	43091
99	4774	42971
100	4817	42876
101	4860	42788
102	4902	42694
103	4950	42646
104	5000	42621
105	5038	42493
106	5078	42388
107	5121	42297
108	5165	42226
109	5206	42128
110	5250	42050
111	5288	41931
112	5331	41850
113	5373	41761
114	5414	41670
115	5459	41603
116	5508	41569
117	5546	41454
118	5587	41368
119	5632	41306
120	5679	41255
121	5719	41158
122	5760	41075
123	5803	41000
124	5837	40863
125	5877	40769
126	5916	40669
127	5957	40584
128	6013	40601
129	6054	40516
130	6099	40459
131	6144	40406
132	6188	40344
133	6227	40248
134	6273	40198
135	6311	40095
136	6355	40035
137	6395	39948
138	6440	39896
139	6481	39812
140	6529	39776
141	6573	39718
142	6620	39679
143	6669	39648
144	6707	39554
145	6747	39470
146	6792	39413
147	6836	39355
148	6879	39291
149	6922	39227
150	6966	39171
151	7017	39150
152	7076	39172
153	7118	39107
154	7163	39050
155	7206	38986
156	7248	38919
157	7290	38849
158	7327	38759
159	7370	38697
160	7408	38608
161	7467	38630
162	7517	38601
163	7555	38517
164	7602	38473
165	7649	38431
166	7691	38363
167	7734	38303
168	7777	38241
169	7814	38154
170	7854	38077
171	7902	38044
172	7940	37958
173	7978	37876
174	8034	37876
175	8076	37810
176	8116	37741
177	8160	37683
178	8199	37606
179	8239	37533
180	8284	37487
181	8326	37423
182	8370	37369
183	8413	37310
184	8452	37235
185	8500	37201
186	8549	37170
187	8594	37122
188	8638	37068
189	8676	36987
190	8717	36924
191	8756	36848
192	8798	36790
193	8841	36735
194	8882	36669
195	8920	36593
196	8963	36535
197	9001	36462
198	9059	36464
199	9101	36405
200	9143	36346
