iter	Passed	Remaining
0	7	7751
1	12	6323
2	17	5770
3	21	5456
4	26	5302
5	31	5211
6	36	5157
7	40	5061
8	45	4993
9	50	5002
10	55	4950
11	59	4895
12	63	4842
13	68	4846
14	73	4839
15	88	5426
16	93	5386
17	97	5336
18	102	5281
19	107	5263
20	111	5213
21	116	5177
22	121	5155
23	125	5122
24	130	5090
25	135	5074
26	139	5044
27	144	5024
28	149	4997
29	153	4973
30	158	4953
31	163	4936
32	167	4917
33	172	4890
34	176	4870
35	181	4852
36	186	4866
37	191	4849
38	196	4834
39	200	4820
40	205	4799
41	210	4799
42	215	4789
43	219	4773
44	224	4756
45	228	4738
46	233	4738
47	238	4738
48	243	4728
49	249	4732
50	253	4721
51	258	4720
52	263	4706
53	268	4702
54	273	4699
55	277	4686
56	282	4678
57	287	4673
58	292	4661
59	296	4648
60	301	4639
61	306	4629
62	310	4620
63	315	4609
64	319	4597
65	324	4588
66	328	4579
67	334	4578
68	338	4572
69	344	4570
70	348	4560
71	353	4552
72	358	4550
73	363	4545
74	368	4539
75	372	4529
76	377	4528
77	382	4517
78	386	4508
79	391	4502
80	396	4503
81	401	4497
82	406	4492
83	411	4483
84	415	4475
85	421	4474
86	425	4468
87	430	4460
88	435	4455
89	439	4448
90	444	4441
91	449	4433
92	454	4428
93	458	4421
94	463	4412
95	467	4404
96	472	4395
97	476	4387
98	482	4389
99	486	4382
100	491	4373
101	496	4368
102	500	4362
103	505	4355
104	510	4352
105	515	4346
106	520	4341
107	524	4333
108	529	4326
109	533	4318
110	538	4314
111	543	4308
112	548	4304
113	553	4302
114	558	4301
115	563	4296
116	568	4291
117	573	4285
118	578	4282
119	583	4276
120	588	4272
121	592	4264
122	597	4258
123	602	4255
124	607	4249
125	611	4242
126	616	4236
127	620	4227
128	625	4220
129	629	4212
130	633	4204
131	638	4196
132	642	4189
133	647	4182
134	651	4177
135	656	4171
136	661	4168
137	666	4163
138	671	4156
139	675	4152
140	682	4157
141	687	4151
142	691	4145
143	696	4138
144	700	4131
145	705	4126
146	710	4123
147	715	4119
148	720	4117
149	725	4111
150	730	4106
151	735	4102
152	740	4098
153	745	4094
154	750	4090
155	755	4085
156	760	4081
157	764	4075
158	769	4070
159	774	4065
160	778	4059
161	783	4053
162	788	4046
163	792	4040
164	797	4036
165	802	4031
166	807	4026
167	812	4022
168	817	4017
169	822	4014
170	827	4010
171	832	4007
172	837	4004
173	842	3998
174	846	3992
175	851	3986
176	856	3982
177	861	3978
178	866	3973
179	871	3969
180	876	3965
181	880	3959
182	885	3953
183	890	3949
184	895	3944
185	901	3944
186	905	3938
187	910	3931
188	915	3926
189	920	3923
190	924	3917
191	929	3911
192	934	3908
193	939	3902
194	944	3897
195	948	3891
196	953	3886
197	958	3880
198	962	3876
199	967	3870
200	972	3864
201	976	3859
202	981	3854
203	986	3848
204	990	3841
205	995	3836
206	1000	3831
207	1005	3826
208	1009	3820
209	1013	3814
210	1018	3807
211	1023	3804
212	1028	3798
213	1035	3802
214	1051	3840
215	1056	3835
216	1063	3837
217	1068	3833
218	1073	3829
219	1079	3828
220	1084	3822
221	1088	3816
222	1093	3811
223	1098	3806
224	1103	3800
225	1107	3793
226	1112	3788
227	1118	3788
228	1123	3782
229	1128	3778
230	1133	3773
231	1138	3767
232	1142	3761
233	1147	3755
234	1152	3752
235	1157	3747
236	1162	3743
237	1168	3739
238	1173	3736
239	1178	3732
240	1184	3729
241	1189	3724
242	1194	3720
243	1199	3715
244	1203	3709
245	1208	3704
246	1213	3699
247	1218	3694
248	1223	3688
249	1227	3682
250	1232	3678
251	1237	3673
252	1242	3668
253	1246	3661
254	1253	3661
255	1258	3657
256	1263	3653
257	1268	3648
258	1273	3644
259	1278	3638
260	1283	3634
261	1288	3629
262	1293	3624
263	1298	3619
264	1303	3615
265	1308	3609
266	1313	3605
267	1318	3600
268	1322	3594
269	1328	3590
270	1333	3587
271	1338	3582
272	1346	3584
273	1351	3579
274	1355	3574
275	1361	3570
276	1366	3566
277	1372	3563
278	1378	3563
279	1384	3560
280	1389	3554
281	1394	3550
282	1399	3546
283	1404	3541
284	1411	3541
285	1417	3538
286	1423	3535
287	1428	3531
288	1434	3530
289	1440	3526
290	1445	3521
291	1450	3516
292	1456	3514
293	1461	3509
294	1467	3506
295	1472	3501
296	1477	3496
297	1482	3492
298	1487	3486
299	1492	3483
300	1498	3480
301	1503	3474
302	1508	3470
303	1514	3466
304	1519	3462
305	1524	3457
306	1529	3453
307	1534	3448
308	1539	3443
309	1545	3439
310	1549	3433
311	1555	3429
312	1560	3424
313	1565	3419
314	1569	3413
315	1574	3409
316	1579	3403
317	1584	3398
318	1589	3393
319	1594	3387
320	1599	3382
321	1604	3378
322	1609	3374
323	1614	3369
324	1619	3363
325	1624	3358
326	1628	3352
327	1633	3346
328	1638	3340
329	1642	3335
330	1647	3329
331	1651	3323
332	1657	3319
333	1661	3313
334	1666	3308
335	1670	3301
336	1675	3296
337	1680	3290
338	1684	3285
339	1689	3279
340	1694	3273
341	1698	3267
342	1702	3261
343	1707	3256
344	1711	3249
345	1716	3244
346	1721	3238
347	1725	3233
348	1730	3228
349	1735	3222
350	1739	3216
351	1743	3210
352	1748	3204
353	1752	3198
354	1757	3193
355	1761	3187
356	1766	3181
357	1771	3175
358	1776	3171
359	1780	3166
360	1785	3161
361	1790	3155
362	1794	3149
363	1799	3143
364	1804	3140
365	1809	3134
366	1814	3128
367	1818	3123
368	1823	3118
369	1827	3112
370	1832	3106
371	1837	3101
372	1841	3096
373	1847	3092
374	1851	3086
375	1856	3080
376	1860	3075
377	1867	3072
378	1871	3066
379	1877	3062
380	1882	3057
381	1887	3053
382	1892	3048
383	1897	3044
384	1902	3038
385	1906	3033
386	1911	3027
387	1918	3026
388	1923	3020
389	1928	3016
390	1933	3010
391	1937	3005
392	1942	3000
393	1947	2995
394	1952	2990
395	1957	2986
396	1963	2982
397	1968	2977
398	1973	2971
399	1979	2969
400	1984	2964
401	1989	2959
402	1994	2954
403	1999	2949
404	2004	2945
405	2009	2940
406	2014	2935
407	2019	2930
408	2024	2925
409	2031	2922
410	2035	2917
411	2040	2912
412	2045	2906
413	2049	2901
414	2054	2896
415	2059	2890
416	2064	2886
417	2069	2881
418	2074	2876
419	2079	2871
420	2084	2866
421	2089	2862
422	2094	2857
423	2099	2852
424	2107	2850
425	2112	2846
426	2116	2840
427	2121	2835
428	2126	2829
429	2130	2824
430	2136	2820
431	2141	2815
432	2146	2810
433	2151	2806
434	2156	2801
435	2161	2796
436	2166	2791
437	2172	2787
438	2177	2782
439	2182	2777
440	2187	2772
441	2192	2767
442	2197	2762
443	2203	2759
444	2210	2756
445	2214	2751
446	2219	2746
447	2224	2740
448	2229	2735
449	2234	2730
450	2239	2725
451	2244	2721
452	2250	2717
453	2254	2711
454	2259	2706
455	2267	2705
456	2272	2700
457	2277	2695
458	2282	2690
459	2287	2685
460	2294	2682
461	2299	2678
462	2304	2672
463	2308	2667
464	2313	2662
465	2318	2656
466	2322	2651
467	2328	2646
468	2333	2641
469	2337	2636
470	2342	2630
471	2346	2625
472	2352	2620
473	2356	2615
474	2362	2610
475	2366	2605
476	2371	2599
477	2375	2594
478	2381	2589
479	2385	2584
480	2390	2579
481	2396	2575
482	2401	2570
483	2405	2564
484	2411	2560
485	2416	2556
486	2421	2550
